Customer,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies
ZU88113,90751,82,2,22,1,8
SZ75668,44186,64,9,96,2,2
MZ65087,92678,70,0,67,0,3
EL61402,74257,76,16,91,0,3
CJ31839,99981,71,2,22,0,1
XM11175,0,91,26,89,0,6
LF41085,19591,74,8,79,0,4
MB19556,29095,127,2,80,0,1
HC74532,0,62,25,15,0,1
SB66770,60880,119,25,89,0,2
JI25066,61785,61,31,47,0,5
PY98958,44428,104,17,61,0,2
RA65645,95697,107,29,29,0,9
FQ79356,18064,63,10,45,2,1
TM25808,74720,70,15,99,0,3
XO46388,22594,67,22,41,0,3
LB81265,40987,73,6,15,0,1
JR38787,24561,126,1,31,0,2
KZ22690,76456,83,27,34,1,2
NY49598,65828,62,22,3,0,1
KY39767,0,68,0,48,1,5
YU35386,63621,70,8,48,0,5
TF82172,10074,107,33,42,0,1
ER40041,78965,183,3,78,0,2
MS39869,0,68,16,57,0,2
PV77906,23604,64,4,86,0,8
QF21045,99205,68,7,21,0,1
HF65914,0,92,4,60,0,3
AJ58038,0,66,6,71,2,1
ZR88383,55350,67,0,13,0,9
OT49339,21052,111,12,55,0,5
FI74985,0,69,5,64,0,2
JW15301,24664,69,12,15,0,2
PY20159,45225,124,15,83,0,1
NC42524,30430,86,6,77,0,2
ZG19911,35149,64,26,33,0,1
DI89983,16513,71,23,37,0,6
IG56214,10892,66,16,9,0,3
LC59148,37995,139,16,50,0,1
UO95739,54704,113,6,75,0,1
SB64873,25381,71,22,62,0,2
TE82896,0,74,5,75,0,1
VY64199,18150,67,17,34,0,2
IE82679,29735,69,3,92,0,1
SL70257,77156,73,30,39,0,7
XJ85947,88782,78,6,38,0,1
EF84269,51489,139,14,10,0,1
NY91328,16972,125,17,89,0,5
AT49447,99359,95,16,19,0,9
BM70908,58289,62,18,92,4,1
GM63998,45173,268,20,57,0,2
AR61426,93246,78,31,24,0,2
CB62406,43758,171,16,29,0,1
WH82416,75651,81,23,60,0,2
UI53874,0,67,13,91,0,2
LM44949,36938,70,32,31,0,3
JR59597,50843,82,12,65,0,3
ZS22428,21907,62,6,47,0,3
AZ34845,77846,119,8,45,0,1
FL67726,20228,101,3,43,1,2
QU20310,97030,76,14,24,0,2
NQ42020,80864,182,5,30,0,1
ZF40143,48197,106,10,61,0,6
GU65780,70837,73,7,19,4,3
KY32675,85297,93,7,91,0,2
ZX35838,70177,115,12,34,0,8
LU42720,52499,138,0,61,0,2
FB25242,63143,71,31,85,0,3
RW51650,97361,73,6,85,0,2
XX94684,50052,130,6,50,0,1
AH99727,11612,71,20,92,0,5
NZ85858,78115,65,1,12,0,4
JU19953,81947,71,12,78,0,2
LC33025,44698,211,0,88,4,1
BV86143,26876,66,12,53,0,2
AY88788,69841,192,0,66,0,7
OJ33945,97768,72,22,14,0,2
LO84523,0,187,6,12,0,1
GJ43254,89057,98,17,90,0,2
AR96516,50217,74,18,2,0,9
WH11924,0,71,3,33,0,3
DL26809,0,68,13,26,0,2
MV69686,38500,99,26,49,1,1
SC95565,62018,71,21,0,0,1
RL31641,0,65,13,84,0,1
OH83248,57394,106,8,11,0,3
DB28979,23530,65,22,34,0,2
ZS32263,48887,95,26,25,0,1
IY59173,68867,129,19,91,0,1
KL17620,12062,63,3,42,0,2
CP28581,59230,107,11,56,0,5
QR15592,59586,72,6,70,0,3
DX98298,57506,102,24,43,0,1
TG68823,25134,67,3,0,0,6
WO78310,0,61,3,58,0,5
SC78905,0,61,19,44,0,1
EL88957,0,100,15,96,1,1
SS54050,44901,70,15,56,2,2
ZV99487,0,93,21,8,0,3
XI51746,28463,113,0,45,2,7
KG85675,13037,124,28,49,0,1
KK64803,82320,99,4,2,1,2
OM80593,0,104,9,58,0,7
RL59810,78460,64,3,93,0,4
QQ53360,0,92,26,11,4,1
WR76339,46922,64,34,12,0,3
BA40043,60689,74,29,67,0,7
MK52197,0,71,3,38,0,3
SV48204,61108,89,22,93,0,2
RJ79502,98003,107,4,46,0,7
SM14243,0,74,30,37,0,2
NL32558,22081,84,1,9,0,6
CP92616,83006,235,8,61,1,2
BP28492,38713,66,31,69,4,6
MX28412,28700,68,2,65,3,1
DT99586,61552,115,1,95,0,2
IC41932,56718,113,7,95,1,1
DA35744,66776,71,11,45,0,2
GU96042,58268,67,12,82,0,2
UW98698,0,68,22,43,0,1
SF32458,12608,66,23,72,1,3
OM85313,63499,73,21,79,0,1
MH81246,36247,96,35,29,0,7
OH99089,30228,73,28,44,0,5
TG57800,0,74,19,4,0,1
GX19342,0,116,3,97,0,3
XE39286,99364,121,3,37,0,5
JA93297,23665,67,19,50,0,2
II37789,0,94,7,4,0,2
IC32996,69247,61,12,64,1,3
LO67195,56047,92,26,29,0,5
PG93638,28919,73,11,76,0,5
OZ41737,0,70,5,29,0,4
OY66019,0,83,8,78,0,4
CH73843,69900,64,23,68,0,2
XT93203,55687,276,33,91,0,1
OR85652,78294,92,6,35,0,3
YD87931,46896,62,9,33,1,4
XK11432,0,62,26,62,0,3
OX24868,0,168,11,46,0,1
EZ74530,0,104,25,33,3,1
HP46467,21385,127,14,37,0,1
KP54476,87128,97,26,45,0,3
AI47152,35434,66,19,26,0,2
BU15334,29462,107,28,23,1,1
GD59796,53243,102,26,96,3,2
OX59701,21006,139,14,9,1,1
OD63728,0,65,24,93,0,9
JC38573,36088,72,16,31,0,9
RC11491,28948,131,7,57,0,3
RZ24101,24417,185,22,25,0,1
OB88698,67099,69,11,24,0,6
IK92617,97830,96,3,61,0,2
YH43996,0,101,15,90,0,2
BJ65040,93558,67,19,5,0,1
WY57101,37384,99,9,17,0,1
OG77759,28227,62,14,24,0,2
HN38084,51008,74,5,95,0,2
GD11927,78185,61,23,54,0,1
MC20349,0,74,35,2,0,3
HM22034,0,68,34,68,0,4
KH48996,97205,100,22,40,2,2
VM34210,0,101,28,34,0,6
LS90887,26225,72,18,25,1,7
EN72010,20545,70,23,86,0,2
KH44031,0,83,20,32,0,1
GJ47896,35503,67,14,95,0,1
GD87742,58988,118,3,76,0,2
MD14027,0,74,16,89,1,2
XA32915,0,64,21,5,0,1
XR52852,0,66,16,35,4,1
EZ48947,67197,111,2,9,0,2
OJ50322,39032,198,31,15,0,7
XB77333,0,68,19,2,3,2
QB58745,34927,70,5,2,0,1
IG62421,30817,88,25,43,0,1
SF29724,31535,70,27,46,0,1
WM95454,23376,78,19,18,0,1
CB96381,46244,62,8,3,0,2
MJ60422,34886,84,3,40,0,5
NC63295,0,66,27,51,0,1
JX76668,62935,141,29,27,0,7
ZE76673,24164,137,2,40,0,5
XG19917,0,87,6,3,0,1
WF34690,0,68,20,66,1,2
ZM28138,40153,61,1,99,0,2
FI14842,0,104,12,7,0,3
KC32511,97131,64,5,80,0,6
NE10467,23712,106,2,12,0,1
PT93474,0,64,26,72,0,2
RL74454,33171,65,27,17,0,3
DQ31994,0,83,18,90,1,2
DN98431,0,68,24,73,0,1
EV53200,60228,112,23,28,1,2
AJ89107,27072,93,24,27,0,8
WS25565,26057,74,3,63,0,2
ZY33234,66331,107,0,74,0,1
QW17286,66030,69,33,19,1,1
TO34442,59768,71,6,93,1,3
DG90902,45106,73,22,21,0,2
SW96063,78435,130,11,19,0,4
CP19929,0,63,31,99,1,1
KR50062,79507,70,7,17,3,1
CU19735,44986,101,14,83,0,3
ST52914,25899,79,10,11,0,8
WQ68301,13610,74,7,64,0,1
LR33381,0,65,11,15,0,2
UR36912,77362,70,14,25,0,1
SK46419,96443,102,1,17,0,1
BY88757,0,135,2,41,1,1
ER65086,90778,76,31,29,0,7
TP87527,0,65,11,62,0,1
VL80291,78494,79,6,40,0,1
WL45773,83497,69,28,15,0,1
TT36693,58842,110,6,74,0,1
PT12544,63935,87,20,63,0,6
CI24326,0,96,5,35,0,1
YQ73717,0,69,1,79,0,4
FG99706,0,77,20,89,0,9
OM63414,62258,65,14,17,0,5
JQ74890,0,80,10,81,0,1
FP93662,58516,98,14,75,0,2
PF40592,23285,65,30,22,0,7
EW82164,56901,104,29,82,0,1
KV99550,0,61,12,75,1,2
CA96230,99443,117,6,6,4,5
QN17712,0,113,4,70,0,4
KM79894,88246,77,3,27,1,1
YC54142,0,242,1,34,0,2
DZ45471,64801,64,23,19,0,2
DE18949,57029,68,24,97,0,2
BN74268,28045,99,7,99,0,2
QJ93301,44661,101,2,1,0,1
OO92815,21246,83,19,51,0,1
HV50891,31278,92,24,95,4,1
RK59543,74454,71,25,29,0,3
IH54239,62474,63,20,63,0,5
GB14456,0,130,9,43,0,2
RC95515,20647,63,17,10,0,7
TI61458,33806,89,32,59,0,2
RB49468,0,70,9,96,0,2
SJ18454,0,111,13,55,0,2
KC19420,19589,127,26,44,0,1
TP12241,22338,67,9,37,1,9
BD89564,66839,154,33,24,0,1
SG20925,99428,64,16,25,1,5
CJ97736,31364,74,28,47,0,3
SK79760,15340,121,12,47,0,2
YB70005,36225,123,7,84,0,8
QI40455,0,107,18,79,0,2
YL72747,0,61,5,21,0,1
FL18392,77601,71,27,48,0,6
AL21967,74243,84,34,2,0,2
KC67431,46707,133,7,9,0,8
EG40823,0,116,6,63,0,1
QO89177,50234,101,12,1,0,2
AV72430,75526,103,26,68,1,2
AT36002,0,193,30,38,0,7
WI29961,28343,69,19,88,0,8
ZR11692,74948,64,23,43,0,8
No36572,22728,116,28,81,0,1
YZ56105,0,99,14,48,2,9
MN62189,17331,117,13,39,0,6
MQ32284,35133,102,2,31,0,2
NS38229,63147,64,1,91,0,4
IB41597,67575,91,27,85,0,2
IP68868,0,111,29,76,0,1
EL70257,48315,71,34,56,0,2
NB27041,34337,113,20,44,0,9
BM28359,33818,72,6,34,4,3
VB77950,22439,98,30,63,0,1
PE47967,79055,186,32,24,1,1
QR47308,45191,69,18,34,0,1
YU49449,41990,66,23,19,0,1
KN25124,50979,61,25,45,1,1
HI51182,59888,106,6,14,0,3
MS18916,20978,98,19,96,1,1
IE40701,32807,73,10,10,0,1
UT48216,58414,210,7,24,2,1
VN92740,50071,71,3,32,0,1
IZ55070,67796,69,7,24,4,8
PQ19113,90750,170,30,47,0,1
AW48347,0,125,6,61,0,2
DY30071,69387,71,16,37,0,3
ZN24083,29084,71,14,59,1,3
JU74347,60214,100,8,16,1,4
YJ35850,96018,122,8,60,0,3
JP41935,20128,70,28,10,2,2
GP67816,60233,116,29,63,0,2
PW51793,52920,93,18,95,0,3
UF59346,90310,104,9,39,0,1
FG29932,58414,210,7,24,2,1
ER19995,99790,64,24,8,0,2
BY54111,21159,73,35,14,0,2
RI85578,79699,65,24,12,0,1
PT15464,68236,114,2,75,0,6
BP92643,59207,116,23,21,0,2
NG85002,21499,135,34,28,1,3
GQ46925,77563,143,35,58,0,1
RF14806,33415,78,15,44,0,1
KJ23009,20179,133,29,0,1,5
IB81655,50147,101,4,37,0,3
GK92563,22492,85,34,88,0,7
HR64684,0,99,25,57,5,2
QS96715,93715,102,9,43,2,4
SW55711,23540,103,30,23,2,1
LZ19268,25370,102,10,77,0,2
FU74983,68771,96,10,70,0,2
KB99097,0,73,35,52,3,5
AP52126,68562,108,29,52,0,2
EX61844,36733,71,21,28,0,2
QC30857,45768,73,33,27,0,1
RT69513,0,64,34,47,0,7
HV85198,63513,70,13,76,0,2
BS91566,58161,68,19,19,0,5
IL40123,83640,70,20,13,0,4
MY32149,0,96,2,88,0,1
SA91515,0,111,35,68,0,1
SA25987,0,104,13,29,0,1
TB86706,0,66,8,11,0,1
ZL73902,25820,82,10,69,0,1
KX23516,0,121,16,64,0,1
FN77294,30366,101,25,13,2,3
VI78454,51789,70,8,34,0,1
FP59138,0,125,6,61,0,2
XN62489,18608,71,13,24,0,1
GP66031,83758,64,27,34,0,1
IX68587,22886,65,9,81,0,3
HX17929,11828,90,18,84,0,2
IC59236,44762,62,14,11,0,6
VG31922,0,175,12,60,0,1
HP87787,82664,114,24,10,3,9
AL78075,0,108,7,57,0,1
WA97671,0,63,1,21,0,2
QZ77637,84978,72,12,51,1,2
FP11777,24164,137,2,40,0,5
ID45268,0,80,5,10,0,8
AX86150,62777,67,34,32,0,1
MW57614,19864,63,22,96,0,1
TJ30081,44428,104,17,61,0,2
FW44940,21139,113,15,93,0,5
CS55808,0,88,4,52,0,2
WZ61178,11896,69,29,57,0,5
IV55977,0,73,35,87,1,1
YC67208,27972,61,7,38,0,1
LZ89773,0,62,26,98,0,1
IP52990,38399,106,12,6,0,2
VF73104,20868,63,19,13,0,8
OC80343,49682,101,30,49,0,3
EL89222,79090,107,2,74,0,3
QB14114,81850,132,1,75,0,1
HM41195,22906,76,17,27,0,8
JT41591,0,83,15,85,1,1
HE15857,37138,83,12,1,2,9
KI64666,0,71,32,35,0,2
JC33752,21024,82,32,8,1,9
JA25453,0,103,25,80,0,9
AJ69778,77135,84,3,37,3,8
FQ83162,0,109,3,19,0,2
EY89842,0,114,3,70,0,1
TG69238,72845,108,13,28,0,2
UI63465,51622,74,29,32,0,1
WX33904,0,61,25,79,0,2
HA20933,15616,114,20,96,1,2
BU16704,0,82,31,25,0,8
JV68002,23091,96,28,90,5,5
PM78410,0,67,7,8,3,3
PU92298,22699,74,11,76,4,2
AA16582,14072,71,13,3,0,2
AZ87715,81713,74,0,41,0,2
GI89160,56516,199,26,46,0,2
WV57813,0,73,21,31,0,3
EW86465,26747,61,11,44,0,3
UW70224,63422,66,8,68,0,1
LU12532,22081,84,1,9,0,6
WD48852,0,180,14,70,0,4
BH43379,29698,83,17,89,2,1
GV59387,24518,74,23,62,0,3
LQ76410,62873,81,0,41,0,1
MF19231,28377,94,26,99,0,3
XS47087,21102,100,0,81,0,2
IL56791,0,65,12,57,2,1
UV88036,0,88,2,43,0,3
SE76116,81410,119,8,86,0,7
GJ63103,27869,67,18,59,0,2
PL78574,57449,103,6,28,0,2
NV69875,40901,74,2,36,0,1
MC38650,88701,99,7,4,0,1
No73819,29365,137,14,78,0,7
OW84864,0,82,26,33,0,3
BV91898,0,103,9,72,0,2
WQ54314,56455,73,17,5,2,8
NM57315,35095,73,25,56,0,2
JB51220,0,155,9,62,1,8
EN77569,94903,94,3,38,0,1
YP47665,80192,67,22,24,0,7
QO54008,0,122,15,11,0,2
EQ59908,60244,83,3,72,3,1
YU72540,52735,65,21,19,0,2
BZ50261,78275,72,12,36,0,2
QE92747,77282,102,8,54,0,3
KG83280,21604,79,14,28,0,1
IL42365,51962,125,8,2,4,1
FI86516,0,68,4,67,0,9
FV14881,56362,197,30,47,1,6
RR54950,85753,66,23,14,1,8
FC70869,36167,76,9,79,3,1
PB60303,68568,223,5,28,1,6
HO50571,35482,129,21,59,0,3
BH86846,92079,65,12,68,1,2
PC42162,0,77,0,84,0,3
KD21661,0,165,29,6,2,1
FZ73016,34558,113,32,24,0,1
HJ19927,14775,69,11,44,0,5
RJ99408,35637,68,13,11,0,9
EL81968,66726,97,3,60,1,7
WU86174,0,72,29,86,0,1
DN21342,0,96,25,71,0,6
PB60406,79719,71,12,87,0,6
IY37465,25632,63,27,52,0,7
LF55270,61108,89,22,93,0,2
UV69038,0,137,34,77,0,4
IS63925,21073,106,25,54,1,3
CQ21583,17932,79,8,38,0,2
PR21713,81082,73,5,85,0,4
XE10977,71684,66,7,17,0,1
JG87029,57338,61,8,48,0,1
BK21146,0,102,35,48,0,2
WE19034,24409,62,4,13,0,1
DF62718,83488,90,14,20,0,3
MS59254,0,104,29,7,0,2
WC65050,62537,71,19,64,1,1
ST27958,10621,67,28,22,0,5
XZ81226,43478,80,27,79,0,9
TU53781,46503,215,4,21,1,1
GC93551,27179,66,8,91,0,9
MO33279,62229,70,13,26,0,5
LD20926,0,92,34,39,1,2
PW90662,67060,126,1,85,4,2
WS53288,13663,97,1,66,0,2
HE84643,0,63,5,79,0,1
CL37990,0,99,21,35,1,4
HR87252,97745,113,10,64,0,5
SB27146,26026,116,1,76,1,1
KI58952,72794,164,3,47,1,2
RM21896,47730,91,12,52,0,2
JS38272,0,122,27,2,0,1
NJ15094,0,72,6,67,0,8
MZ88454,0,70,20,81,0,9
PO27978,97785,73,35,36,0,2
VT28596,0,66,27,89,0,3
TI19722,30817,88,25,43,0,1
DO83038,64502,70,22,49,0,2
AG62087,30335,87,17,42,0,1
BA56812,21020,80,1,36,0,4
QF74147,84574,70,13,75,0,2
RN88075,0,84,26,37,0,1
OG71924,0,93,28,3,0,8
YF87007,11828,90,18,84,0,2
ZL18631,54889,63,32,94,0,1
BZ71120,89918,105,15,72,0,9
UP60200,87002,110,27,30,0,2
XZ64172,55687,276,33,91,0,1
CA47176,17103,87,24,29,0,2
CI68869,0,70,17,20,5,1
XT10744,28441,73,10,98,0,2
HT48275,91212,69,9,92,0,6
HB48073,66325,117,10,10,0,5
MD43085,67895,101,25,27,4,1
NJ11986,29550,114,16,70,1,1
HH55884,10275,97,10,8,0,1
JP69867,61725,106,7,70,0,6
FT86104,28215,65,15,26,0,3
GV39658,10563,121,20,10,0,2
GB66110,0,62,10,97,0,3
VD51297,99722,61,6,48,0,2
EP29567,16224,93,13,55,0,9
PE59368,72096,64,24,92,0,5
DQ50538,63800,113,9,43,0,4
WP58340,55687,276,33,91,0,1
TM23788,0,89,6,49,1,3
UF44021,0,61,8,91,0,1
WB96917,29598,87,2,70,0,2
MN95006,22907,180,13,86,2,1
NP60037,22697,186,35,39,1,8
NQ71171,70174,64,18,80,0,7
SM58898,85378,107,7,4,0,2
FN98595,31477,94,22,77,0,3
TW94555,66429,136,35,93,0,1
XW60886,0,90,15,55,0,3
IE84844,0,65,29,32,0,3
HY76810,0,172,23,6,0,1
JL41129,74217,100,35,3,0,6
OQ41280,46298,88,11,82,3,4
AP65984,0,135,0,86,0,1
EE99484,43860,65,15,58,0,1
XM39121,0,69,11,5,0,2
DK49336,48029,61,7,52,0,9
HB43486,86830,123,18,5,0,3
KB15252,0,77,29,21,0,2
BN83547,40706,71,30,96,0,1
MC55901,69231,65,19,7,0,9
PZ98142,0,132,13,33,0,2
GB43363,0,105,5,87,0,3
TH67541,16171,74,8,36,0,4
WC21901,51397,61,20,61,0,1
CL38124,83879,69,3,66,0,2
XH89851,63267,92,22,31,0,8
KA58700,44712,82,19,14,2,8
ZB40259,59311,69,8,38,0,9
JV63229,81957,86,23,76,0,4
SI31035,59601,67,28,2,0,6
JW30054,71034,103,26,15,0,3
AP56340,13103,72,21,32,0,7
FN44127,20978,98,19,96,1,1
QE79527,46503,215,4,21,1,1
UP36767,61064,113,32,77,0,1
PG43749,17572,110,0,35,0,1
LL96228,99823,116,2,64,0,2
OV40993,17453,118,12,70,1,9
MA80983,55663,166,19,63,0,1
SA54664,73196,66,0,93,1,1
TW12556,58577,110,6,62,0,1
TC88451,88055,71,11,37,0,6
BL93659,0,80,17,96,0,5
SI20178,80892,110,15,76,0,1
KC50464,34990,65,23,73,0,1
HG64216,37124,72,4,17,0,1
XM91056,22236,62,3,45,0,4
KN13494,97131,64,5,80,0,6
OC47565,67760,74,19,19,0,3
HH14259,0,69,13,74,0,1
QF66741,0,62,6,44,1,2
LY46898,37473,70,0,92,0,3
MK73855,32314,68,17,77,0,2
HU82227,49214,102,0,82,3,2
FF75737,49851,69,27,85,1,2
KJ50265,27951,91,32,4,0,2
OQ82364,0,95,13,20,0,5
SO47345,56410,117,13,73,0,3
JN51592,22497,212,15,71,0,7
FH36069,61347,106,27,66,0,2
ZW32080,37803,74,26,51,0,1
ZH98656,91276,105,14,4,0,4
GZ31904,30816,87,10,43,0,4
PN47493,41968,67,11,96,0,1
CX18273,35754,199,21,54,0,3
IG80173,36706,71,4,45,0,1
JG76775,48258,249,12,86,0,2
JR82641,52965,134,6,77,3,4
NW41789,0,84,25,44,0,1
VG74039,0,65,8,5,0,1
DV27428,62634,116,10,89,0,2
AN57220,96917,61,24,2,0,2
VD62056,76157,116,15,80,0,1
AH92481,53219,117,24,36,0,1
LX97765,81412,109,1,29,0,1
JP82211,59744,105,1,79,0,2
SI88726,38898,117,26,68,0,3
MG46007,0,94,19,98,2,4
GL69461,99961,66,6,54,2,1
RA63927,30886,91,7,53,0,4
UE76013,35984,128,7,68,3,1
RI35792,0,125,27,97,4,1
WL63802,0,181,13,16,0,1
KZ29413,0,139,4,35,0,2
SN23932,60244,83,3,72,3,1
YW26148,0,72,8,61,0,2
LS51818,37553,187,34,7,0,2
ZG47195,0,73,24,47,0,3
No50634,60475,107,9,18,0,1
GC42314,0,111,3,59,0,9
SD77009,0,136,7,61,2,3
OW85480,25545,69,19,49,0,9
SW93780,24182,66,12,32,0,1
ZW51071,80979,84,32,27,2,3
CK74127,0,62,8,20,0,7
KM52241,0,74,20,3,0,2
PE66545,29250,64,27,30,0,1
GG70928,33566,63,25,56,1,4
GI36262,65247,72,14,55,0,1
MH85165,39650,86,18,8,0,6
AM26717,0,101,1,83,4,1
CV90092,82680,68,8,86,0,2
CL70684,0,111,30,86,0,3
GK13851,0,129,15,42,0,3
TQ73726,0,69,17,60,0,2
RW65977,0,61,9,16,1,1
EY74093,86834,64,2,93,0,8
YG11074,46143,122,15,85,0,1
HW65139,21275,240,3,58,0,2
BT49333,47746,106,9,4,0,1
KN78424,51675,196,11,86,0,5
TH68648,85522,64,1,56,0,3
GZ22403,0,63,3,35,4,4
NU26460,0,84,17,5,0,2
PB21909,55632,123,35,98,0,7
TA78865,0,93,24,25,0,2
FP23103,0,78,32,37,0,5
YK43172,69152,89,8,83,4,1
YZ36062,13476,67,3,30,2,2
SJ29837,0,105,2,84,0,5
RC72799,33252,71,20,4,0,1
AN67558,0,102,16,1,1,1
EQ62488,59456,189,11,7,0,8
OA92714,88989,63,19,28,1,3
QS76805,0,107,17,39,0,5
PQ46798,17034,113,11,40,0,6
IA56290,88435,62,16,61,0,1
XU35186,71445,70,6,95,2,1
DR84620,72149,101,18,43,0,6
QG27547,23376,78,19,18,0,1
NM95102,44788,61,6,48,0,2
KZ26788,69379,103,14,79,0,1
GW25077,38521,134,15,71,0,1
ZU91897,34482,67,4,6,0,2
ZK38095,0,68,35,35,0,1
TY84623,37256,62,15,7,0,2
IP69763,77311,181,18,36,0,2
NF90665,39268,66,30,96,1,9
KG53186,59644,79,15,94,0,1
KV57104,0,68,2,33,0,2
ZX93551,23376,78,19,18,0,1
TR18337,50854,73,15,72,0,2
XV22744,35158,76,14,27,0,2
KK27683,15413,106,4,67,0,1
HX11651,17860,99,16,0,2,1
FD73388,16181,181,22,79,0,8
KF70569,91182,96,8,90,0,1
CC94413,41154,72,6,7,1,8
QO59138,18746,68,21,93,0,1
JW58698,70277,80,23,4,0,1
GT57081,0,66,23,38,0,4
GU82475,24919,84,21,2,1,5
BG60187,0,79,22,82,0,2
TN73558,0,96,31,34,0,1
KK15032,46370,68,28,86,1,1
KA95160,89918,115,14,42,0,2
KD52867,37138,85,4,13,0,1
WY53775,19683,117,17,41,1,9
HS94778,32214,100,5,6,0,2
EJ96266,26472,74,22,31,0,1
RK53289,39841,72,9,40,0,5
TX39594,51085,62,4,58,1,1
JM93892,61006,74,6,99,0,9
PY51000,34148,109,27,30,0,2
HX74855,95697,61,16,55,0,1
VE64781,75685,73,35,47,0,1
KY57676,20870,72,20,90,0,2
JL42497,66900,68,15,20,0,1
WQ91717,0,106,22,51,1,8
WO39817,37043,68,25,89,3,1
HW20940,42837,106,15,39,0,1
KE60943,33305,62,3,12,0,5
ZI48518,0,103,8,35,0,1
KI17749,24823,69,23,66,0,1
DS50601,98192,84,2,64,1,2
PU78245,88249,108,9,71,0,2
MP96373,54585,71,33,39,1,3
QK62680,39770,117,11,37,0,3
HN63935,85367,85,27,20,0,1
ON30714,74809,61,7,35,0,3
FM61329,50144,114,0,35,0,2
NK91656,20075,79,7,2,1,1
MS94619,76448,63,9,13,0,3
MO38507,59556,113,11,86,0,1
PQ36549,14174,72,1,62,0,8
WG91434,35230,61,27,2,1,2
WR43077,0,91,33,38,0,2
LR10110,0,73,18,45,0,5
XZ58588,0,114,2,45,0,7
FX12602,51352,66,21,87,3,2
BL55947,76675,72,5,38,0,9
LA60344,0,68,6,94,0,2
KQ44803,0,72,27,21,2,2
QY81331,94242,71,35,7,1,2
NP33989,0,113,4,92,0,2
CP30637,71153,122,1,94,0,1
RW50070,63326,225,5,99,0,1
LO42325,29629,71,21,51,4,5
YQ50209,0,69,0,32,0,7
JP35025,23726,74,1,83,0,9
WZ13788,48999,86,6,65,3,2
IS21172,13037,124,28,49,0,1
CL10476,24245,63,0,22,0,2
WO83615,44047,137,12,38,0,1
ZJ77881,91942,117,34,61,0,3
GT37101,37640,67,25,74,0,4
WE13528,77058,63,16,42,0,2
BT78503,0,73,29,38,0,1
WM19967,63755,62,28,40,0,2
EW13798,37384,99,9,17,0,1
RO18530,42557,65,4,35,0,1
AY18433,45473,76,10,29,0,2
CS29328,10743,70,12,64,2,8
QL75176,0,113,5,90,0,2
IO25161,0,61,16,29,0,1
FA82777,0,64,27,32,3,5
GR49281,75644,65,5,68,3,9
ZW19492,63455,61,26,71,0,1
UW88168,73782,76,11,97,0,1
XX53620,80590,71,4,19,0,1
IM90123,59797,127,4,50,0,2
BE33446,48567,130,12,15,0,1
YW11227,62470,66,34,84,0,4
UF32671,57338,66,9,85,0,3
ZW10467,63288,199,12,92,0,5
KK95092,55281,192,22,68,1,1
HZ43637,22985,77,4,65,0,1
FY82691,39608,78,14,15,1,7
SO40738,99189,117,27,27,0,3
MB83471,0,112,27,46,0,4
GA63091,0,92,7,89,0,2
AU75025,58089,118,31,83,0,1
XF15789,81350,110,1,28,0,9
SH13204,0,65,2,73,0,8
FX48006,43704,201,29,67,0,2
HS69837,75497,100,5,72,0,3
GL49408,40372,85,15,17,0,4
PK51938,17489,85,31,28,0,1
JE62426,86277,74,19,33,0,3
IA31850,0,63,3,5,0,6
PP50567,0,74,14,38,0,2
CS26667,49078,97,10,3,0,2
UF73578,81082,73,5,85,0,4
MY23958,0,116,20,9,2,6
OP75571,40635,102,4,45,0,6
SI60881,26351,119,14,87,0,7
DQ15807,0,80,15,83,0,1
WU15684,42836,89,32,99,0,1
KR17533,40175,102,34,78,1,1
IM98086,62873,81,0,41,0,1
XY48850,0,74,24,98,0,5
YT25875,50985,71,7,31,0,1
TL59568,0,116,6,28,0,2
UE52886,42803,245,21,56,0,2
TM28833,0,69,34,13,1,1
SQ60915,35970,98,29,81,0,1
GU42084,44537,106,13,42,0,1
ZH93283,13528,86,21,35,0,3
WF51811,14030,72,11,3,0,1
RL51023,0,64,0,56,0,3
NQ67659,33190,106,18,95,0,2
KI45566,0,100,1,25,0,4
WB68229,21033,118,5,22,0,8
UF84144,26285,84,7,1,0,1
ZH28312,0,74,29,52,0,8
GK48045,73245,68,33,48,0,2
HZ67642,0,119,5,31,0,3
HE12295,0,61,32,42,0,3
XL66550,74365,193,11,85,0,1
AL27471,30821,97,27,59,0,1
NG94479,69844,68,5,9,0,1
WR58220,0,124,15,86,0,8
RT64920,55836,73,8,87,0,7
IR58695,40352,77,31,33,0,3
AS93181,14985,116,12,45,0,1
ML23548,27458,131,18,62,1,3
PU71194,56343,295,11,69,0,2
QT46430,12780,111,17,53,2,6
WP83694,68558,131,16,11,0,1
UE19977,47747,111,31,76,0,1
WC83942,16113,81,27,19,0,2
HZ62410,0,79,6,55,0,1
CE72177,39626,69,23,0,0,3
YI89801,49304,65,28,48,0,1
KB53430,27972,61,7,38,0,1
KB50999,27568,68,0,62,0,3
JO17193,25905,63,21,12,0,1
BO42776,21442,108,16,83,0,2
OZ19432,34516,113,12,70,3,1
VT34834,0,68,11,90,0,4
MI65698,28354,118,33,20,0,1
IG85969,0,72,22,58,0,5
SE72928,37722,116,8,23,0,8
QV47358,32021,70,12,58,0,2
HR50405,13393,73,31,11,0,1
MN53151,13624,117,4,11,0,2
VD64777,27800,67,9,78,0,1
