income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,total_claim_amount
52920,93,18,95,0,3,1101.05432
90310,104,9,39,0,1,166.355491
58414,210,7,24,2,1,1008.0
99790,64,24,8,0,2,178.986788
21159,73,35,14,0,2,350.4
79699,65,24,12,0,1,348.82656
68236,114,2,75,0,6,20.725611
59207,116,23,21,0,2,556.8
21499,135,34,28,1,3,648.0
77563,143,35,58,0,1,545.999699
33415,78,15,44,0,1,374.4
20179,133,29,0,1,5,638.4
50147,101,4,37,0,3,484.8
22492,85,34,88,0,7,61.654262
0,99,25,57,5,2,475.2
93715,102,9,43,2,4,254.83769
23540,103,30,23,2,1,494.4
25370,102,10,77,0,2,489.6
68771,96,10,70,0,2,276.268778
0,73,35,52,3,5,350.4
68562,108,29,52,0,2,228.498823
36733,71,21,28,0,2,327.078047
45768,73,33,27,0,1,191.934494
0,64,34,47,0,7,307.2
63513,70,13,76,0,2,185.667213
58161,68,19,19,0,5,140.747286
83640,70,20,13,0,4,471.050488
0,96,2,88,0,1,28.460568
0,111,35,68,0,1,700.349052
0,104,13,29,0,1,499.2
0,66,8,11,0,1,3.468912
25820,82,10,69,0,1,393.6
0,121,16,64,0,1,699.615192
30366,101,25,13,2,3,484.8
51789,70,8,34,0,1,336.0
0,125,6,61,0,2,900.0
18608,71,13,24,0,1,340.8
83758,64,27,34,0,1,106.591949
22886,65,9,81,0,3,312.0
11828,90,18,84,0,2,571.479602
44762,62,14,11,0,6,114.51444
0,175,12,60,0,1,1221.143438
82664,114,24,10,3,9,133.425609
0,108,7,57,0,1,777.6
0,63,1,21,0,2,302.4
84978,72,12,51,1,2,166.77296
24164,137,2,40,0,5,657.6
0,80,5,10,0,8,488.910614
62777,67,34,32,0,1,101.288069
19864,63,22,96,0,1,352.394515
44428,104,17,61,0,2,499.2
21139,113,15,93,0,5,656.798232
0,88,4,52,0,2,851.146266
11896,69,29,57,0,5,476.254583
0,73,35,87,1,1,350.4
27972,61,7,38,0,1,292.8
0,62,26,98,0,1,624.711448
38399,106,12,6,0,2,368.890904
20868,63,19,13,0,8,134.629643
49682,101,30,49,0,3,198.84453
79090,107,2,74,0,3,289.040734
81850,132,1,75,0,1,429.860895
22906,76,17,27,0,8,519.883102
0,83,15,85,1,1,398.4
37138,83,12,1,2,9,417.28389
0,71,32,35,0,2,511.2
21024,82,32,8,1,9,450.129276
0,103,25,80,0,9,741.6
77135,84,3,37,3,8,98.372265
0,109,3,19,0,2,718.700718
0,114,3,70,0,1,820.8
72845,108,13,28,0,2,463.000336
51622,74,29,32,0,1,355.2
0,61,25,79,0,2,292.8
15616,114,20,96,1,2,547.2
0,82,31,25,0,8,590.4
23091,96,28,90,5,5,460.8
0,67,7,8,3,3,482.4
22699,74,11,76,4,2,355.2
14072,71,13,3,0,2,511.2
81713,74,0,41,0,2,332.224293
56516,199,26,46,0,2,955.2
0,73,21,31,0,3,525.6
26747,61,11,44,0,3,404.074203
63422,66,8,68,0,1,355.922452
22081,84,1,9,0,6,451.670309
0,180,14,70,0,4,1296.0
29698,83,17,89,2,1,215.884804
24518,74,23,62,0,3,241.656325
62873,81,0,41,0,1,207.75186
28377,94,26,99,0,3,451.2
21102,100,0,81,0,2,480.0
0,65,12,57,2,1,312.0
0,88,2,43,0,3,539.280951
81410,119,8,86,0,7,221.188327
27869,67,18,59,0,2,482.4
57449,103,6,28,0,2,494.4
40901,74,2,36,0,1,13.628274
88701,99,7,4,0,1,171.830049
29365,137,14,78,0,7,657.6
0,82,26,33,0,3,393.6
0,103,9,72,0,2,1060.310769
56455,73,17,5,2,8,350.4
35095,73,25,56,0,2,525.6
0,155,9,62,1,8,1116.0
94903,94,3,38,0,1,451.2
80192,67,22,24,0,7,95.193157
0,122,15,11,0,2,827.786203
60244,83,3,72,3,1,326.281835
52735,65,21,19,0,2,123.512596
78275,72,12,36,0,2,25.336642
77282,102,8,54,0,3,489.6
21604,79,14,28,0,1,379.2
51962,125,8,2,4,1,788.206874
0,68,4,67,0,9,489.6
56362,197,30,47,1,6,945.6
85753,66,23,14,1,8,316.8
36167,76,9,79,3,1,364.8
68568,223,5,28,1,6,1070.4
35482,129,21,59,0,3,619.2
92079,65,12,68,1,2,114.798771
0,77,0,84,0,3,554.4
0,165,29,6,2,1,1188.0
34558,113,32,24,0,1,376.529086
14775,69,11,44,0,5,170.939409
35637,68,13,11,0,9,326.4
66726,97,3,60,1,7,335.840529
0,72,29,86,0,1,345.6
0,96,25,71,0,6,460.8
79719,71,12,87,0,6,425.924132
25632,63,27,52,0,7,351.270869
61108,89,22,93,0,2,49.451117
0,137,34,77,0,4,657.6
21073,106,25,54,1,3,508.8
17932,79,8,38,0,2,379.2
81082,73,5,85,0,4,281.295903
71684,66,7,17,0,1,196.065149
57338,61,8,48,0,1,292.8
0,102,35,48,0,2,489.6
24409,62,4,13,0,1,297.6
83488,90,14,20,0,3,432.784577
0,104,29,7,0,2,773.346065
62537,71,19,64,1,1,354.199664
10621,67,28,22,0,5,321.6
43478,80,27,79,0,9,384.0
46503,215,4,21,1,1,1032.0
27179,66,8,91,0,9,344.201601
62229,70,13,26,0,5,336.0
0,92,34,39,1,2,441.6
67060,126,1,85,4,2,339.000467
13663,97,1,66,0,2,465.6
0,63,5,79,0,1,453.6
0,99,21,35,1,4,699.67536
97745,113,10,64,0,5,695.136477
26026,116,1,76,1,1,283.670312
72794,164,3,47,1,2,50.454459
47730,91,12,52,0,2,219.440024
0,122,27,2,0,1,725.870693
0,72,6,67,0,8,345.6
0,70,20,81,0,9,336.0
97785,73,35,36,0,2,236.614219
0,66,27,89,0,3,712.309237
30817,88,25,43,0,1,91.834668
64502,70,22,49,0,2,39.336222
30335,87,17,42,0,1,326.132867
21020,80,1,36,0,4,178.371281
84574,70,13,75,0,2,167.459769
0,84,26,37,0,1,700.725788
0,93,28,3,0,8,436.143226
11828,90,18,84,0,2,571.479602
54889,63,32,94,0,1,302.4
89918,105,15,72,0,9,367.230882
87002,110,27,30,0,2,199.851173
55687,276,33,91,0,1,1324.8
17103,87,24,29,0,2,417.6
0,70,17,20,5,1,702.020904
28441,73,10,98,0,2,686.020135
91212,69,9,92,0,6,270.311239
66325,117,10,10,0,5,497.719213
67895,101,25,27,4,1,403.937672
29550,114,16,70,1,1,118.750512
10275,97,10,8,0,1,465.6
61725,106,7,70,0,6,508.8
28215,65,15,26,0,3,468.0
10563,121,20,10,0,2,109.814874
0,62,10,97,0,3,722.432062
99722,61,6,48,0,2,292.8
16224,93,13,55,0,9,498.452698
72096,64,24,92,0,5,252.330905
63800,113,9,43,0,4,542.4
55687,276,33,91,0,1,1324.8
0,89,6,49,1,3,640.8
0,61,8,91,0,1,351.85681
29598,87,2,70,0,2,150.926696
22907,180,13,86,2,1,49.18776
22697,186,35,39,1,8,892.8
70174,64,18,80,0,7,128.90032
85378,107,7,4,0,2,513.6
31477,94,22,77,0,3,146.950756
66429,136,35,93,0,1,57.712985
0,90,15,55,0,3,900.242038
0,65,29,32,0,3,655.489027
0,172,23,6,0,1,141.460349
74217,100,35,3,0,6,418.005524
46298,88,11,82,3,4,128.292466
0,135,0,86,0,1,648.0
43860,65,15,58,0,1,156.124914
0,69,11,5,0,2,331.2
48029,61,7,52,0,9,292.8
86830,123,18,5,0,3,480.533246
0,77,29,21,0,2,509.100577
40706,71,30,96,0,1,166.123172
69231,65,19,7,0,9,193.243084
0,132,13,33,0,2,950.4
0,105,5,87,0,3,756.0
16171,74,8,36,0,4,311.004168
51397,61,20,61,0,1,292.8
83879,69,3,66,0,2,212.148485
63267,92,22,31,0,8,530.340202
44712,82,19,14,2,8,537.78416
59311,69,8,38,0,9,14.812808
81957,86,23,76,0,4,433.426544
59601,67,28,2,0,6,321.6
71034,103,26,15,0,3,494.4
13103,72,21,32,0,7,458.003651
20978,98,19,96,1,1,1176.2788
46503,215,4,21,1,1,1032.0
61064,113,32,77,0,1,539.774172
17572,110,0,35,0,1,639.769748
99823,116,2,64,0,2,250.183388
17453,118,12,70,1,9,566.4
55663,166,19,63,0,1,194.739777
73196,66,0,93,1,1,85.809817
58577,110,6,62,0,1,303.872752
88055,71,11,37,0,6,337.727542
0,80,17,96,0,5,384.0
80892,110,15,76,0,1,528.0
34990,65,23,73,0,1,42.689135
37124,72,4,17,0,1,430.518791
22236,62,3,45,0,4,409.425049
97131,64,5,80,0,6,307.2
67760,74,19,19,0,3,465.278453
0,69,13,74,0,1,97.691104
0,62,6,44,1,2,307.649586
37473,70,0,92,0,3,336.0
32314,68,17,77,0,2,326.4
49214,102,0,82,3,2,371.322406
49851,69,27,85,1,2,331.2
27951,91,32,4,0,2,436.8
0,95,13,20,0,5,456.0
56410,117,13,73,0,3,523.99823
22497,212,15,71,0,7,1017.6
61347,106,27,66,0,2,604.237801
37803,74,26,51,0,1,355.2
91276,105,14,4,0,4,504.0
30816,87,10,43,0,4,237.57033
41968,67,11,96,0,1,183.207703
35754,199,21,54,0,3,612.973779
36706,71,4,45,0,1,435.606086
48258,249,12,86,0,2,1195.2
52965,134,6,77,3,4,83.815183
0,84,25,44,0,1,604.8
0,65,8,5,0,1,455.644704
62634,116,10,89,0,2,122.017931
96917,61,24,2,0,2,71.942176
76157,116,15,80,0,1,556.8
53219,117,24,36,0,1,561.6
81412,109,1,29,0,1,344.294164
59744,105,1,79,0,2,476.486416
38898,117,26,68,0,3,561.6
0,94,19,98,2,4,17.938979
99961,66,6,54,2,1,316.8
30886,91,7,53,0,4,103.424766
35984,128,7,68,3,1,275.577631
0,125,27,97,4,1,539.5622
0,181,13,16,0,1,1303.2
0,139,4,35,0,2,667.2
60244,83,3,72,3,1,326.281835
0,72,8,61,0,2,518.4
37553,187,34,7,0,2,897.6
0,73,24,47,0,3,525.6
60475,107,9,18,0,1,513.6
0,111,3,59,0,9,672.91665
0,136,7,61,2,3,979.2
25545,69,19,49,0,9,331.2
24182,66,12,32,0,1,316.8
80979,84,32,27,2,3,25.961213
0,62,8,20,0,7,446.4
0,74,20,3,0,2,47.502366
29250,64,27,30,0,1,308.240792
33566,63,25,56,1,4,205.043307
65247,72,14,55,0,1,381.238176
39650,86,18,8,0,6,922.335972
0,101,1,83,4,1,960.115399
82680,68,8,86,0,2,326.4
0,111,30,86,0,3,799.2
0,129,15,42,0,3,619.2
0,69,17,60,0,2,460.741097
0,61,9,16,1,1,439.2
86834,64,2,93,0,8,0.099007
46143,122,15,85,0,1,223.028356
21275,240,3,58,0,2,1152.0
47746,106,9,4,0,1,246.696768
51675,196,11,86,0,5,940.8
85522,64,1,56,0,3,165.002742
0,63,3,35,4,4,753.22565
0,84,17,5,0,2,633.294203
55632,123,35,98,0,7,478.609999
0,93,24,25,0,2,669.6
0,78,32,37,0,5,374.4
69152,89,8,83,4,1,221.359492
13476,67,3,30,2,2,433.588181
0,105,2,84,0,5,914.538629
33252,71,20,4,0,1,407.668083
0,102,16,1,1,1,734.4
59456,189,11,7,0,8,907.2
88989,63,19,28,1,3,232.745161
0,107,17,39,0,5,513.6
17034,113,11,40,0,6,542.4
88435,62,16,61,0,1,136.263492
71445,70,6,95,2,1,336.0
72149,101,18,43,0,6,69.310166
23376,78,19,18,0,1,374.4
44788,61,6,48,0,2,386.031248
69379,103,14,79,0,1,494.4
38521,134,15,71,0,1,557.184015
34482,67,4,6,0,2,83.830109
0,68,35,35,0,1,487.345606
37256,62,15,7,0,2,128.969729
77311,181,18,36,0,2,113.609508
39268,66,30,96,1,9,188.870427
59644,79,15,94,0,1,379.2
0,68,2,33,0,2,326.4
23376,78,19,18,0,1,374.4
50854,73,15,72,0,2,101.489422
35158,76,14,27,0,2,165.958605
15413,106,4,67,0,1,508.8
17860,99,16,0,2,1,656.122925
16181,181,22,79,0,8,1261.319869
91182,96,8,90,0,1,249.140907
41154,72,6,7,1,8,345.6
18746,68,21,93,0,1,326.4
70277,80,23,4,0,1,84.818806
0,66,23,38,0,4,668.158687
24919,84,21,2,1,5,420.420755
0,79,22,82,0,2,335.234102
0,96,31,34,0,1,460.8
46370,68,28,86,1,1,326.4
89918,115,14,42,0,2,423.116739
37138,85,4,13,0,1,612.0
19683,117,17,41,1,9,561.6
32214,100,5,6,0,2,296.560998
26472,74,22,31,0,1,355.2
39841,72,9,40,0,5,440.128707
51085,62,4,58,1,1,406.902001
61006,74,6,99,0,9,73.919629
34148,109,27,30,0,2,451.566751
95697,61,16,55,0,1,114.273025
75685,73,35,47,0,1,369.918482
20870,72,20,90,0,2,345.6
66900,68,15,20,0,1,326.4
0,106,22,51,1,8,508.8
37043,68,25,89,3,1,30.984936
42837,106,15,39,0,1,290.580543
33305,62,3,12,0,5,353.77899
0,103,8,35,0,1,558.281543
24823,69,23,66,0,1,229.279059
98192,84,2,64,1,2,403.2
88249,108,9,71,0,2,244.803741
54585,71,33,39,1,3,340.8
39770,117,11,37,0,3,561.6
85367,85,27,20,0,1,67.975243
74809,61,7,35,0,3,283.787384
50144,114,0,35,0,2,786.934186
20075,79,7,2,1,1,483.731784
76448,63,9,13,0,3,302.4
59556,113,11,86,0,1,681.505066
14174,72,1,62,0,8,345.6
35230,61,27,2,1,2,16.214764
0,91,33,38,0,2,436.8
0,73,18,45,0,5,350.4
0,114,2,45,0,7,547.2
51352,66,21,87,3,2,95.661376
76675,72,5,38,0,9,141.718568
0,68,6,94,0,2,326.4
0,72,27,21,2,2,297.419028
94242,71,35,7,1,2,41.229484
0,113,4,92,0,2,217.92632
71153,122,1,94,0,1,209.019238
63326,225,5,99,0,1,1080.0
29629,71,21,51,4,5,228.443418
0,69,0,32,0,7,599.152722
23726,74,1,83,0,9,355.2
48999,86,6,65,3,2,412.8
13037,124,28,49,0,1,839.348464
24245,63,0,22,0,2,302.4
44047,137,12,38,0,1,969.232217
91942,117,34,61,0,3,561.6
37640,67,25,74,0,4,174.046849
77058,63,16,42,0,2,119.331041
0,73,29,38,0,1,525.6
63755,62,28,40,0,2,291.860708
37384,99,9,17,0,1,475.2
42557,65,4,35,0,1,57.562324
45473,76,10,29,0,2,188.938397
10743,70,12,64,2,8,336.0
0,113,5,90,0,2,813.6
0,61,16,29,0,1,283.881697
0,64,27,32,3,5,575.890362
75644,65,5,68,3,9,467.803638
63455,61,26,71,0,1,287.654819
73782,76,11,97,0,1,111.622054
80590,71,4,19,0,1,134.158389
59797,127,4,50,0,2,609.6
48567,130,12,15,0,1,624.0
62470,66,34,84,0,4,243.766542
57338,66,9,85,0,3,316.8
63288,199,12,92,0,5,558.433218
55281,192,22,68,1,1,921.6
22985,77,4,65,0,1,458.056054
39608,78,14,15,1,7,22.961216
99189,117,27,27,0,3,75.302707
0,112,27,46,0,4,574.102379
0,92,7,89,0,2,514.360634
58089,118,31,83,0,1,566.4
81350,110,1,28,0,9,228.185834
0,65,2,73,0,8,731.289267
43704,201,29,67,0,2,1064.482165
75497,100,5,72,0,3,71.773341
40372,85,15,17,0,4,76.975713
17489,85,31,28,0,1,587.689075
86277,74,19,33,0,3,212.039619
0,63,3,5,0,6,453.6
0,74,14,38,0,2,355.2
49078,97,10,3,0,2,484.013411
81082,73,5,85,0,4,281.295903
0,116,20,9,2,6,835.2
40635,102,4,45,0,6,489.6
26351,119,14,87,0,7,571.2
0,80,15,83,0,1,824.487259
42836,89,32,99,0,1,244.580023
40175,102,34,78,1,1,154.721555
62873,81,0,41,0,1,207.75186
0,74,24,98,0,5,588.936956
50985,71,7,31,0,1,307.68931
0,116,6,28,0,2,835.2
42803,245,21,56,0,2,889.288242
0,69,34,13,1,1,624.980751
35970,98,29,81,0,1,470.4
44537,106,13,42,0,1,441.907057
13528,86,21,35,0,3,412.8
14030,72,11,3,0,1,345.6
0,64,0,56,0,3,492.644465
33190,106,18,95,0,2,508.8
0,100,1,25,0,4,61.580247
21033,118,5,22,0,8,738.975495
26285,84,7,1,0,1,403.2
0,74,29,52,0,8,65.953005
73245,68,33,48,0,2,305.121363
0,119,5,31,0,3,244.816163
0,61,32,42,0,3,616.279356
74365,193,11,85,0,1,926.4
30821,97,27,59,0,1,451.319227
69844,68,5,9,0,1,184.379697
0,124,15,86,0,8,595.2
55836,73,8,87,0,7,314.936185
40352,77,31,33,0,3,406.367233
14985,116,12,45,0,1,571.319514
27458,131,18,62,1,3,730.373515
56343,295,11,69,0,2,1612.962321
12780,111,17,53,2,6,225.437098
68558,131,16,11,0,1,280.903779
47747,111,31,76,0,1,165.588524
16113,81,27,19,0,2,494.890996
0,79,6,55,0,1,379.2
39626,69,23,0,0,3,485.705851
49304,65,28,48,0,1,312.0
27972,61,7,38,0,1,292.8
27568,68,0,62,0,3,278.689331
25905,63,21,12,0,1,302.4
21442,108,16,83,0,2,518.4
34516,113,12,70,3,1,42.950852
0,68,11,90,0,4,342.468248
28354,118,33,20,0,1,320.327775
0,72,22,58,0,5,345.6
37722,116,8,23,0,8,158.077504
32021,70,12,58,0,2,336.0
13393,73,31,11,0,1,34.708194
13624,117,4,11,0,2,561.6
27800,67,9,78,0,1,321.6
58419,191,29,6,0,1,202.468807
50407,92,30,67,0,2,352.060768
0,84,0,76,0,4,856.347474
77603,114,10,83,0,8,547.2
75606,119,6,97,0,7,571.2
41458,98,6,67,0,3,191.100227
0,74,6,61,0,1,420.765993
0,82,13,87,0,7,445.001296
70619,187,2,84,0,3,293.948632
41273,77,16,19,0,1,221.226696
46946,70,10,37,0,9,336.0
0,113,10,97,0,9,542.4
99180,106,15,20,0,3,33.751887
55350,67,0,13,0,9,321.6
28215,65,15,26,0,3,468.0
75425,116,25,88,1,2,663.643801
63583,83,15,8,0,1,167.39959
0,66,27,28,0,3,475.2
37995,139,16,50,0,1,667.2
37125,63,29,78,0,1,290.911693
53357,73,4,77,0,1,55.320014
70140,199,25,15,0,7,955.2
52380,186,27,76,2,1,892.8
79292,67,18,58,0,1,55.394702
0,92,31,24,1,1,774.892461
0,123,14,97,0,1,1480.336748
75425,123,3,49,0,6,823.798803
20992,64,21,73,0,1,307.2
57428,85,34,40,1,1,414.649796
92606,109,26,75,0,3,287.437831
86001,109,4,27,1,1,523.2
79751,63,15,67,0,1,392.235698
68654,71,32,21,2,9,208.048487
0,61,7,71,3,9,208.892861
92629,72,22,1,3,1,60.845685
54094,112,9,51,0,4,502.994931
95419,70,6,61,3,2,336.0
66466,71,20,35,0,2,293.016168
68131,130,22,27,0,1,226.607648
56481,106,7,17,0,3,273.250112
70082,119,17,23,0,1,571.2
51437,115,35,30,0,2,244.086665
0,73,6,97,0,9,525.6
27972,90,13,7,0,8,240.318607
24930,76,7,16,0,2,364.8
26245,110,6,43,0,1,44.284642
57883,69,4,0,0,9,431.847824
0,64,20,4,0,1,483.25721
58828,68,13,98,0,1,446.751243
51906,73,29,78,0,1,374.864662
28095,82,18,2,0,8,393.6
88723,74,12,94,0,8,355.2
53078,79,29,81,2,8,200.97608
88895,106,0,87,0,8,209.863509
60078,127,23,60,0,3,140.819942
0,67,26,4,0,3,321.6
45820,71,4,89,0,8,249.742856
0,73,12,84,0,1,677.970934
12439,115,22,78,0,2,552.0
25998,71,16,38,0,2,791.878042
98451,62,19,57,0,3,316.546868
23803,72,11,90,0,1,410.548521
0,124,12,58,0,2,595.2
26100,67,6,29,0,1,482.4
0,73,8,63,0,1,376.923839
0,67,10,38,0,9,315.215329
65252,78,27,75,0,9,482.48791
48567,130,12,15,0,1,624.0
34337,113,20,44,0,9,542.4
20394,115,28,84,0,1,508.614758
0,76,20,17,0,6,784.611446
0,61,17,1,1,7,292.8
31617,62,17,29,1,1,244.269407
0,62,31,30,1,2,297.6
21104,66,34,74,0,1,118.454974
37748,181,21,22,2,2,868.8
0,96,19,30,0,1,438.661509
25023,82,31,38,0,2,397.139856
0,62,22,57,0,9,271.164139
14108,109,27,88,0,1,523.2
23923,82,29,61,1,2,393.6
0,67,1,19,0,1,321.6
22705,239,19,59,0,7,1294.700423
0,89,10,83,0,1,427.2
0,69,31,89,0,5,506.92275
50825,102,3,46,0,3,369.614729
14616,106,16,23,0,1,575.260213
0,69,5,74,0,1,272.381465
29504,125,16,29,0,9,1224.56345
58789,111,4,69,0,3,215.438825
29491,61,26,62,0,2,292.8
78077,107,11,47,2,6,438.069458
0,96,2,53,0,1,799.251165
76558,74,2,45,0,2,216.980413
78618,66,7,56,0,1,225.578841
82664,114,24,10,3,9,133.425609
23053,132,5,97,0,8,780.941649
50250,117,3,93,0,1,561.6
32169,199,0,74,0,1,785.82348
0,80,28,97,0,1,286.115778
99069,66,7,28,0,2,77.442722
20978,98,19,96,1,1,1176.2788
17576,71,29,70,0,1,398.502948
42297,71,29,62,0,1,200.38673
0,115,0,3,0,3,824.597262
0,63,21,23,0,7,151.231247
0,110,22,72,0,9,161.092415
48990,74,3,20,0,2,355.2
16916,64,31,31,0,2,377.512951
18375,103,8,50,0,1,535.080276
17150,65,28,19,0,2,689.800891
23815,73,4,47,0,2,424.330166
21947,118,30,76,0,9,566.4
0,97,4,11,0,4,863.219668
89451,63,11,2,0,1,61.769564
79325,68,4,31,0,4,251.294821
88454,101,8,89,0,1,308.749796
0,87,2,41,0,3,417.6
20943,69,0,86,0,1,240.00056
51972,66,19,22,0,2,316.8
54408,79,29,17,0,4,288.329793
23751,82,4,9,1,7,586.921708
37612,64,0,32,0,1,307.2
91603,69,4,92,2,3,472.67262
0,62,12,53,0,3,639.758314
16450,128,6,81,0,1,871.484565
50864,83,18,86,1,4,158.362972
74560,110,31,20,0,2,528.0
62488,62,35,47,2,1,200.689331
55837,117,16,35,0,9,741.867506
0,66,12,71,0,1,475.2
97742,67,33,57,0,5,67.648392
0,69,13,75,0,1,496.8
64125,108,3,44,0,3,369.818708
0,62,22,39,0,6,446.4
70412,61,27,12,0,3,136.291083
0,70,13,8,0,3,336.0
66267,111,23,95,0,3,1093.708851
0,82,14,23,0,6,863.935307
40882,89,6,17,0,2,393.637436
34498,83,30,72,0,7,398.4
0,74,0,52,0,1,355.2
23228,64,4,0,1,6,307.2
40864,109,16,70,1,1,166.937747
46133,73,7,78,0,5,19.626306
46900,66,13,59,0,1,316.8
0,92,1,17,0,6,441.6
53390,64,13,41,0,5,278.999409
99185,115,8,19,0,3,449.428182
62815,80,14,84,0,1,47.061469
26277,61,17,30,0,4,292.8
41854,110,17,44,0,8,481.269644
0,86,4,56,0,8,412.8
66627,85,32,55,0,8,733.21126
12131,64,32,60,1,1,251.44949
0,110,4,61,0,1,528.0
0,90,4,18,0,5,648.0
33317,72,18,31,1,3,345.6
68931,66,32,30,0,7,309.577946
0,67,6,60,1,1,321.6
19189,108,21,9,0,3,518.4
49390,195,31,15,0,1,738.05105
33124,67,35,7,0,1,80.119997
40516,70,21,31,0,1,137.168874
0,112,12,93,0,3,537.6
34615,87,6,73,0,7,417.6
29894,72,9,69,4,3,16.510134
0,79,32,2,0,3,379.2
0,84,32,96,0,4,847.490817
86732,180,0,95,0,1,204.373113
68516,216,17,0,0,1,95.693949
31562,115,14,6,0,3,552.0
0,74,33,92,0,4,582.420512
24477,79,15,32,0,3,379.2
0,100,31,80,0,1,480.0
20046,87,15,59,0,3,417.6
78152,114,18,35,0,1,547.2
0,65,7,47,0,2,733.522405
36067,117,30,78,0,3,561.6
44362,66,15,75,0,2,142.113373
77350,66,11,4,0,1,316.8
86641,71,17,79,0,6,161.752532
72258,105,8,50,0,4,12.497538
70737,114,25,12,0,4,741.655597
0,159,19,75,0,2,1410.16929
0,125,7,99,0,3,988.535078
0,81,10,80,3,3,388.8
17672,110,28,16,0,1,792.0
0,173,24,21,0,2,1245.6
47297,115,10,46,4,4,796.130111
57240,83,18,79,0,7,83.652384
28181,109,32,41,0,3,523.2
31275,66,26,0,0,3,316.8
0,182,24,45,0,1,1310.4
63774,111,18,63,0,1,60.036683
78441,103,6,73,0,2,613.866905
0,104,19,65,2,1,499.2
0,76,0,91,0,2,364.8
0,117,0,65,0,4,511.422666
91423,109,3,71,1,5,435.796252
86933,63,3,64,0,1,269.563038
65255,72,3,65,2,3,321.457124
41533,65,2,46,0,9,232.879766
50097,71,25,81,0,5,17.484679
73858,72,8,59,3,1,422.59237
94943,69,3,22,0,1,387.545055
72685,68,20,97,5,1,14.464783
60184,199,7,44,1,1,161.61574
0,106,29,38,0,1,763.2
74045,64,23,83,0,1,307.2
52564,122,33,28,0,2,42.131925
19098,87,35,3,0,1,417.6
78784,80,33,72,0,1,239.964694
0,65,10,10,0,2,163.046956
29256,63,33,41,0,5,302.4
77912,71,2,21,1,3,23.89816
45345,72,28,86,0,3,99.039453
25630,86,8,63,0,1,412.8
22280,68,10,48,0,3,169.414572
0,69,31,25,0,7,496.8
61567,65,35,78,0,1,39.532978
34644,66,7,36,0,2,316.8
26991,119,34,65,0,1,856.8
49746,61,5,88,0,1,624.42874
0,72,8,61,1,2,723.010515
49625,66,29,9,0,1,261.549577
49308,65,7,97,0,1,150.235884
63624,95,10,5,0,5,175.243467
80358,116,19,2,0,1,443.637243
38460,88,15,1,1,1,91.55098
0,64,22,22,0,4,460.8
0,101,10,48,0,2,727.2
0,92,3,9,0,1,711.323244
34835,89,1,45,2,9,294.691896
93836,139,1,19,0,2,497.353106
34075,196,8,87,0,1,451.896687
35624,66,6,55,2,2,227.44626
83218,72,6,42,0,1,245.103885
24641,105,12,82,0,1,504.0
22828,106,11,54,0,2,508.8
0,71,22,25,0,1,340.8
28729,90,26,19,3,1,338.744392
72731,65,10,7,0,1,125.704164
59932,71,16,77,1,3,116.600107
54292,67,4,26,0,2,321.6
0,194,0,22,0,2,931.2
0,63,22,7,3,1,302.4
59414,91,23,21,0,3,340.32278
96587,138,31,99,0,1,749.244062
0,111,15,12,0,2,532.8
0,133,0,59,0,2,638.4
94362,74,21,96,0,1,195.405949
84488,61,33,71,0,2,208.885686
65085,103,20,55,0,1,480.073548
0,72,35,86,0,2,518.4
0,69,32,21,0,2,450.760925
0,67,4,44,0,1,664.128009
0,62,1,73,0,3,446.4
60798,66,21,57,0,1,316.8
30761,69,16,16,2,2,331.2
25981,65,33,38,0,1,77.54669
67739,149,4,76,0,2,270.373444
25581,105,9,21,0,1,429.695284
99759,65,12,25,3,2,74.463101
76514,112,19,0,0,3,573.941286
18375,103,8,50,0,1,535.080276
21832,84,29,39,0,3,403.2
0,117,25,43,0,2,842.4
95330,113,1,1,0,3,542.4
0,106,21,25,0,9,634.396608
0,68,31,69,2,2,326.4
25899,63,20,36,0,1,302.4
0,74,13,30,0,4,355.2
33201,66,9,56,0,1,314.044227
18287,61,6,56,4,1,292.8
76506,89,35,65,0,8,427.2
41859,76,18,58,0,5,166.1306
27504,91,26,45,0,2,436.8
45360,73,16,71,0,1,350.4
49078,97,10,3,0,2,484.013411
0,90,16,66,2,6,648.0
91810,71,27,43,0,1,165.520952
70600,122,26,5,1,2,636.982333
33554,131,25,36,0,1,934.656068
77642,64,20,14,0,2,282.146354
25963,66,11,35,0,9,298.954932
57452,136,25,10,1,1,652.8
0,77,15,89,0,1,491.66348
91416,69,4,39,0,5,109.904496
22000,69,27,36,0,1,383.224514
41167,118,16,4,0,1,554.957693
0,70,18,23,0,2,504.0
0,86,8,37,0,1,412.8
53944,71,13,20,0,2,340.8
75648,108,28,10,0,1,112.660916
29414,64,2,32,0,3,71.303109
48567,130,12,15,0,1,624.0
69276,74,14,22,2,8,201.327931
0,96,6,60,0,1,460.8
50117,107,13,98,0,4,462.654347
22828,106,11,54,0,2,508.8
0,96,0,38,0,3,818.730215
0,136,7,34,0,3,979.2
20868,112,14,11,0,1,537.6
40921,62,0,50,2,1,10.560419
99654,121,13,95,0,3,272.788141
0,110,16,17,0,5,686.90827
56218,72,17,74,2,1,302.942519
70717,72,20,89,0,5,37.28874
62989,71,3,18,1,2,319.131547
41459,71,8,4,0,2,340.8
0,102,20,7,1,2,489.6
