,alpha_customer,customer,state,response,coverage,education,employment_status,gender,location_code,marital_status,policy_type,policy_n,renew_offer_type,sales_channel,vehicle_class,vehicle_size,effective_to_date,year_effective_to_date,month_effective_to_date
1696,ZW,18871,Oregon,No,Basic,High School or Below,Employed,M,Rural,Divorced,Corporate Auto,3,1,Agent,Four-Door Car,Small,2011-01-20,2011,01
1697,QZ,17137,Arizona,No,Extended,High School or Below,Employed,F,Rural,Married,Personal Auto,2,3,Call Center,Two-Door Car,Medsize,2011-02-05,2011,02
1698,UV,53712,California,No,Basic,College,Employed,F,Rural,Married,Personal Auto,3,2,Web,Four-Door Car,Medsize,2011-02-19,2011,02
1699,SJ,43436,Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Corporate Auto,1,2,Agent,Two-Door Car,Medsize,2011-01-28,2011,01
1700,VW,46878,Oregon,No,Basic,High School or Below,Employed,F,Suburban,Married,Personal Auto,3,3,Agent,Four-Door Car,Medsize,2011-02-08,2011,02
1701,TW,91179,Oregon,Yes,Extended,College,Employed,F,Urban,Married,Corporate Auto,3,2,Branch,Four-Door Car,Medsize,2011-01-06,2011,01
1702,LG,19551,Arizona,No,Basic,Bachelor,Employed,M,Suburban,Married,Corporate Auto,2,1,Call Center,Four-Door Car,Medsize,2011-01-25,2011,01
1703,QK,18099,Washington,No,Basic,College,Employed,F,Suburban,Married,Personal Auto,2,3,Web,Four-Door Car,Large,2011-01-12,2011,01
1704,WN,14473,Arizona,No,Basic,Master,Employed,M,Urban,Married,Personal Auto,3,2,Call Center,Two-Door Car,Medsize,2011-02-17,2011,02
1705,WH,62198,California,No,Basic,Bachelor,Unemployed,M,Suburban,Divorced,Personal Auto,2,1,Call Center,Four-Door Car,Small,2011-02-26,2011,02
1706,SP,85148,California,No,Basic,Master,Employed,F,Suburban,Married,Personal Auto,3,1,Web,Sports Car,Small,2011-01-31,2011,01
1707,FB,49203,California,No,Extended,College,Unemployed,F,Suburban,Single,Corporate Auto,2,1,Agent,Two-Door Car,Medsize,2011-02-26,2011,02
1708,FF,94341,Nevada,No,Extended,Bachelor,Employed,F,Suburban,Divorced,Special Auto,3,1,Branch,Four-Door Car,Medsize,2011-01-26,2011,01
1709,TS,42594,California,Yes,Premium,High School or Below,Employed,F,Suburban,Single,Personal Auto,3,1,Agent,Four-Door Car,Medsize,2011-02-01,2011,02
1710,IL,43607,California,No,Basic,High School or Below,Employed,F,Suburban,Married,Corporate Auto,3,3,Branch,Four-Door Car,Medsize,2011-01-02,2011,01
1711,FL,85008,Oregon,Yes,Basic,High School or Below,Disabled,F,Suburban,Married,Personal Auto,2,2,Agent,SUV,Small,2011-02-23,2011,02
1712,AN,47199,Nevada,No,Extended,College,Unemployed,F,Rural,Married,Personal Auto,2,1,Agent,Two-Door Car,Large,2011-02-11,2011,02
1713,SV,28347,California,No,Basic,High School or Below,Employed,M,Suburban,Single,Corporate Auto,3,2,Branch,SUV,Medsize,2011-02-14,2011,02
1714,IC,78105,Arizona,No,Basic,High School or Below,Disabled,F,Suburban,Married,Personal Auto,1,1,Branch,Luxury Car,Medsize,2011-01-16,2011,01
1715,RB,28630,Oregon,No,Basic,High School or Below,Employed,F,Suburban,Married,Personal Auto,3,2,Branch,Four-Door Car,Small,2011-02-20,2011,02
1716,KA,32645,Nevada,No,Extended,College,Unemployed,M,Suburban,Single,Personal Auto,2,1,Branch,Four-Door Car,Medsize,2011-02-02,2011,02
1717,QD,73891,Oregon,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,1,4,Web,Four-Door Car,Small,2011-01-13,2011,01
1718,LM,58949,Oregon,No,Basic,High School or Below,Disabled,M,Suburban,Married,Personal Auto,2,1,Agent,Four-Door Car,Medsize,2011-01-30,2011,01
1719,YG,40323,Arizona,No,Premium,Bachelor,Employed,M,Rural,Married,Personal Auto,3,1,Web,Four-Door Car,Medsize,2011-01-17,2011,01
1720,EP,82214,Arizona,No,Extended,High School or Below,Employed,F,Urban,Married,Special Auto,2,2,Branch,Four-Door Car,Medsize,2011-01-07,2011,01
1721,EO,91797,Nevada,No,Extended,Master,Employed,F,Urban,Married,Corporate Auto,3,3,Agent,SUV,Medsize,2011-01-11,2011,01
1722,RU,50098,Arizona,Yes,Basic,Master,Employed,F,Rural,Single,Personal Auto,3,2,Web,Four-Door Car,Medsize,2011-01-14,2011,01
1723,QW,10541,California,No,Basic,High School or Below,Employed,F,Suburban,Married,Personal Auto,3,2,Agent,Two-Door Car,Small,2011-01-31,2011,01
1724,SB,50826,Oregon,No,Extended,College,Employed,M,Urban,Single,Personal Auto,1,2,Agent,Two-Door Car,Medsize,2011-01-19,2011,01
1725,XX,29952,Arizona,No,Premium,College,Employed,M,Rural,Married,Personal Auto,3,1,Agent,Four-Door Car,Medsize,2011-01-12,2011,01
1726,AT,93647,California,No,Basic,College,Employed,F,Urban,Married,Personal Auto,2,4,Agent,Four-Door Car,Medsize,2011-01-05,2011,01
1727,QP,56563,Oregon,No,Basic,College,Employed,M,Rural,Married,Personal Auto,3,3,Agent,Four-Door Car,Medsize,2011-01-13,2011,01
1728,TN,76120,Washington,Yes,Basic,Bachelor,Employed,M,Suburban,Single,Personal Auto,3,1,Agent,Four-Door Car,Medsize,2011-01-19,2011,01
1729,TY,43440,California,Yes,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,3,2,Branch,SUV,Medsize,2011-01-10,2011,01
1730,WO,59883,Washington,No,Basic,High School or Below,Employed,F,Suburban,Single,Personal Auto,2,2,Agent,Two-Door Car,Medsize,2011-01-19,2011,01
1731,MM,45334,Oregon,No,Basic,College,Employed,F,Rural,Single,Personal Auto,3,3,Call Center,Four-Door Car,Medsize,2011-02-14,2011,02
1732,KH,93988,Oregon,No,Extended,College,Employed,F,Rural,Married,Personal Auto,3,1,Web,Two-Door Car,Medsize,2011-01-05,2011,01
1733,RY,38931,Arizona,Yes,Basic,Bachelor,Employed,M,Suburban,Single,Personal Auto,3,1,Agent,Four-Door Car,Medsize,2011-01-19,2011,01
1734,CV,48634,Nevada,No,Basic,College,Employed,M,Rural,Married,Personal Auto,2,4,Call Center,SUV,Medsize,2011-01-16,2011,01
1735,IH,48064,Washington,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,3,3,Agent,SUV,Medsize,2011-02-02,2011,02
1736,ZS,96174,Oregon,No,Basic,College,Medical Leave,M,Suburban,Single,Personal Auto,3,1,Branch,Two-Door Car,Medsize,2011-01-19,2011,01
1737,MI,62456,Arizona,Yes,Extended,Bachelor,Retired,F,Suburban,Divorced,Personal Auto,1,2,Call Center,Four-Door Car,Medsize,2011-01-03,2011,01
1738,DD,44177,California,Yes,Basic,Doctor,Disabled,F,Suburban,Divorced,Personal Auto,3,2,Branch,Two-Door Car,Medsize,2011-01-27,2011,01
1739,NX,31380,Arizona,No,Extended,Bachelor,Employed,F,Suburban,Married,Corporate Auto,1,1,Branch,Four-Door Car,Medsize,2011-02-18,2011,02
1740,KQ,43374,Oregon,No,Basic,College,Employed,F,Urban,Married,Corporate Auto,3,1,Agent,SUV,Medsize,2011-02-19,2011,02
1741,XA,54112,California,No,Basic,Bachelor,Disabled,M,Suburban,Single,Corporate Auto,3,1,Call Center,SUV,Medsize,2011-02-11,2011,02
1742,QB,14087,California,No,Basic,College,Employed,F,Suburban,Married,Personal Auto,1,1,Agent,Four-Door Car,Medsize,2011-01-19,2011,01
1743,FV,42881,Oregon,No,Basic,College,Employed,F,Rural,Married,Corporate Auto,1,1,Call Center,Two-Door Car,Medsize,2011-02-05,2011,02
1744,AV,76907,Oregon,Yes,Basic,College,Employed,F,Rural,Married,Personal Auto,3,1,Agent,SUV,Medsize,2011-02-26,2011,02
1745,VM,85555,California,No,Basic,College,Employed,F,Rural,Single,Personal Auto,2,3,Branch,Four-Door Car,Medsize,2011-02-23,2011,02
1746,ZU,88113,Oregon,No,Extended,College,Employed,M,Urban,Married,Personal Auto,2,1,Agent,Two-Door Car,Medsize,2011-02-07,2011,02
1747,SZ,75668,Oregon,No,Basic,College,Employed,M,Urban,Married,Personal Auto,1,1,Agent,Four-Door Car,Medsize,2011-01-15,2011,01
1748,MZ,65087,Oregon,No,Basic,College,Employed,M,Rural,Divorced,Personal Auto,3,4,Web,Four-Door Car,Small,2011-01-29,2011,01
1749,EL,61402,Arizona,No,Extended,Bachelor,Employed,F,Urban,Married,Personal Auto,3,1,Agent,Four-Door Car,Large,2011-01-05,2011,01
1750,CJ,31839,California,No,Basic,Bachelor,Employed,M,Urban,Married,Special Auto,2,2,Web,Four-Door Car,Small,2011-02-18,2011,02
1751,XM,11175,Arizona,No,Extended,College,Unemployed,M,Suburban,Single,Personal Auto,1,1,Web,Four-Door Car,Small,2011-01-02,2011,01
1752,LF,41085,Arizona,No,Basic,College,Medical Leave,F,Rural,Divorced,Personal Auto,2,1,Agent,Two-Door Car,Medsize,2011-01-22,2011,01
1753,MB,19556,California,No,Extended,College,Employed,F,Suburban,Married,Personal Auto,2,4,Agent,SUV,Medsize,2011-01-20,2011,01
1754,HC,74532,Oregon,No,Basic,Bachelor,Unemployed,F,Suburban,Married,Corporate Auto,3,4,Agent,Four-Door Car,Medsize,2011-01-19,2011,01
1755,SB,66770,Arizona,Yes,Premium,Master,Employed,M,Rural,Married,Corporate Auto,2,1,Agent,Two-Door Car,Medsize,2011-01-26,2011,01
1756,JI,25066,Arizona,No,Basic,Bachelor,Employed,F,Urban,Married,Personal Auto,3,3,Web,Two-Door Car,Large,2011-01-18,2011,01
1757,PY,98958,Oregon,Yes,Basic,Bachelor,Employed,M,Suburban,Single,Special Auto,1,1,Call Center,SUV,Medsize,2011-02-10,2011,02
1758,RA,65645,California,Yes,Basic,High School or Below,Employed,M,Rural,Married,Personal Auto,2,2,Agent,Sports Car,Medsize,2011-02-17,2011,02
1759,FQ,79356,California,No,Basic,Bachelor,Medical Leave,F,Urban,Married,Personal Auto,2,3,Call Center,Four-Door Car,Medsize,2011-02-24,2011,02
1760,TM,25808,California,No,Basic,High School or Below,Employed,M,Urban,Divorced,Personal Auto,3,1,Agent,Two-Door Car,Medsize,2011-02-10,2011,02
1761,XO,46388,California,No,Basic,Bachelor,Disabled,F,Suburban,Married,Personal Auto,2,1,Call Center,Four-Door Car,Medsize,2011-01-25,2011,01
1762,LB,81265,Arizona,No,Basic,Bachelor,Employed,F,Urban,Divorced,Personal Auto,2,3,Call Center,Four-Door Car,Medsize,2011-02-09,2011,02
1763,JR,38787,Nevada,No,Extended,High School or Below,Disabled,M,Suburban,Married,Personal Auto,1,2,Branch,SUV,Small,2011-02-19,2011,02
1764,KZ,22690,California,No,Extended,College,Employed,F,Rural,Single,Personal Auto,3,4,Web,Four-Door Car,Medsize,2011-02-12,2011,02
1765,NY,49598,California,No,Basic,College,Employed,M,Suburban,Divorced,Personal Auto,3,2,Agent,Four-Door Car,Small,2011-01-21,2011,01
1766,KY,39767,Oregon,No,Basic,College,Unemployed,F,Suburban,Single,Personal Auto,2,1,Call Center,Four-Door Car,Medsize,2011-02-04,2011,02
1767,YU,35386,Arizona,No,Basic,Bachelor,Employed,F,Suburban,Married,Personal Auto,3,4,Call Center,Four-Door Car,Medsize,2011-02-15,2011,02
1768,TF,82172,Arizona,No,Basic,College,Medical Leave,M,Rural,Married,Corporate Auto,1,2,Web,SUV,Medsize,2011-01-05,2011,01
1769,ER,40041,Oregon,No,Basic,College,Employed,F,Rural,Married,Personal Auto,3,1,Call Center,Luxury Car,Medsize,2011-02-05,2011,02
1770,MS,39869,Nevada,No,Basic,College,Unemployed,F,Suburban,Single,Personal Auto,1,2,Call Center,Four-Door Car,Medsize,2011-01-05,2011,01
1771,PV,77906,Arizona,No,Basic,Bachelor,Disabled,M,Suburban,Married,Corporate Auto,2,1,Web,Two-Door Car,Medsize,2011-01-22,2011,01
1772,QF,21045,Oregon,No,Basic,College,Employed,F,Urban,Married,Personal Auto,2,2,Branch,Two-Door Car,Medsize,2011-02-14,2011,02
1773,HF,65914,Arizona,No,Extended,College,Unemployed,M,Suburban,Married,Personal Auto,1,1,Branch,Two-Door Car,Medsize,2011-01-03,2011,01
1774,AJ,58038,California,Yes,Basic,Bachelor,Unemployed,F,Suburban,Married,Corporate Auto,1,2,Call Center,Four-Door Car,Large,2011-01-10,2011,01
1775,ZR,88383,Nevada,Yes,Basic,College,Employed,F,Suburban,Married,Personal Auto,1,1,Agent,Four-Door Car,Medsize,2011-02-24,2011,02
1776,OT,49339,Oregon,No,Basic,College,Disabled,M,Urban,Married,Corporate Auto,3,2,Call Center,SUV,Medsize,2011-02-26,2011,02
1777,FI,74985,Oregon,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,1,1,Web,Four-Door Car,Medsize,2011-01-19,2011,01
1778,JW,15301,Arizona,No,Basic,High School or Below,Medical Leave,M,Suburban,Married,Corporate Auto,3,2,Agent,Four-Door Car,Medsize,2011-01-20,2011,01
1779,PY,20159,Nevada,No,Extended,College,Employed,M,Rural,Single,Corporate Auto,1,3,Web,Sports Car,Small,2011-01-27,2011,01
1780,NC,42524,California,No,Extended,College,Employed,M,Suburban,Single,Special Auto,3,4,Web,Four-Door Car,Small,2011-01-13,2011,01
1781,ZG,19911,California,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,2,4,Web,Two-Door Car,Medsize,2011-02-02,2011,02
1782,DI,89983,California,No,Basic,Bachelor,Medical Leave,M,Suburban,Divorced,Personal Auto,3,3,Branch,Four-Door Car,Medsize,2011-02-04,2011,02
1783,IG,56214,Nevada,No,Basic,High School or Below,Disabled,M,Suburban,Divorced,Personal Auto,1,1,Call Center,Four-Door Car,Medsize,2011-01-27,2011,01
1784,LC,59148,Washington,Yes,Extended,High School or Below,Employed,F,Suburban,Married,Personal Auto,1,1,Branch,SUV,Medsize,2011-01-27,2011,01
1785,UO,95739,Oregon,No,Basic,College,Employed,M,Urban,Divorced,Personal Auto,3,1,Web,SUV,Medsize,2011-02-24,2011,02
1786,SB,64873,Oregon,No,Basic,Doctor,Employed,M,Suburban,Single,Personal Auto,2,2,Branch,Four-Door Car,Medsize,2011-02-13,2011,02
1787,TE,82896,Oregon,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,2,2,Branch,Four-Door Car,Medsize,2011-02-19,2011,02
1788,VY,64199,Oregon,No,Basic,Bachelor,Disabled,F,Urban,Married,Corporate Auto,1,1,Branch,Four-Door Car,Medsize,2011-01-09,2011,01
1789,IE,82679,California,Yes,Basic,Bachelor,Medical Leave,M,Suburban,Single,Personal Auto,2,1,Agent,Four-Door Car,Medsize,2011-02-09,2011,02
1790,SL,70257,Nevada,No,Basic,College,Employed,F,Suburban,Divorced,Personal Auto,2,1,Branch,Four-Door Car,Small,2011-02-04,2011,02
1791,XJ,85947,Oregon,No,Extended,College,Employed,F,Urban,Divorced,Personal Auto,3,4,Web,Four-Door Car,Large,2011-02-05,2011,02
1792,EF,84269,California,No,Extended,College,Employed,F,Rural,Married,Personal Auto,2,1,Web,SUV,Medsize,2011-02-21,2011,02
1793,NY,91328,California,No,Extended,Bachelor,Retired,F,Suburban,Divorced,Personal Auto,3,1,Agent,SUV,Large,2011-02-02,2011,02
1794,AT,49447,California,No,Extended,Bachelor,Employed,M,Rural,Married,Personal Auto,3,2,Call Center,Two-Door Car,Medsize,2011-01-15,2011,01
1795,BM,70908,Arizona,No,Basic,College,Employed,M,Suburban,Single,Personal Auto,3,1,Agent,Two-Door Car,Medsize,2011-01-26,2011,01
1796,GM,63998,Oregon,No,Premium,Doctor,Employed,F,Suburban,Married,Personal Auto,3,3,Call Center,Luxury Car,Medsize,2011-02-14,2011,02
1797,AR,61426,California,No,Extended,Bachelor,Employed,F,Rural,Married,Personal Auto,3,4,Branch,Two-Door Car,Medsize,2011-01-24,2011,01
1798,CB,62406,Arizona,No,Premium,High School or Below,Employed,M,Suburban,Married,Corporate Auto,3,1,Call Center,SUV,Medsize,2011-02-04,2011,02
1799,WH,82416,Oregon,No,Extended,Bachelor,Employed,M,Urban,Married,Personal Auto,2,2,Agent,Four-Door Car,Large,2011-02-12,2011,02
1800,UI,53874,Arizona,No,Basic,Doctor,Unemployed,F,Suburban,Divorced,Personal Auto,3,1,Agent,Four-Door Car,Medsize,2011-02-02,2011,02
1801,LM,44949,Oregon,No,Basic,Doctor,Employed,F,Urban,Married,Special Auto,2,1,Agent,Four-Door Car,Medsize,2011-01-13,2011,01
1802,JR,59597,California,No,Extended,Bachelor,Employed,M,Suburban,Single,Personal Auto,3,3,Call Center,Two-Door Car,Small,2011-02-27,2011,02
1803,ZS,22428,California,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,3,2,Agent,Four-Door Car,Medsize,2011-02-14,2011,02
1804,AZ,34845,California,No,Basic,Bachelor,Employed,F,Urban,Married,Personal Auto,3,1,Agent,Sports Car,Medsize,2011-02-20,2011,02
1805,FL,67726,Washington,Yes,Basic,High School or Below,Retired,M,Suburban,Divorced,Personal Auto,3,1,Branch,SUV,Medsize,2011-02-18,2011,02
1806,QU,20310,Arizona,No,Extended,High School or Below,Employed,F,Suburban,Married,Corporate Auto,3,3,Call Center,Four-Door Car,Small,2011-01-02,2011,01
1807,NQ,42020,Oregon,No,Basic,High School or Below,Employed,M,Urban,Married,Personal Auto,3,3,Agent,Luxury SUV,Medsize,2011-02-07,2011,02
1808,ZF,40143,Nevada,No,Premium,College,Employed,F,Suburban,Single,Personal Auto,2,2,Agent,Four-Door Car,Medsize,2011-01-24,2011,01
1809,GU,65780,California,No,Basic,Doctor,Employed,M,Suburban,Married,Personal Auto,3,2,Agent,Four-Door Car,Small,2011-01-20,2011,01
1810,KY,32675,Arizona,No,Extended,High School or Below,Employed,M,Suburban,Married,Special Auto,3,2,Branch,Two-Door Car,Small,2011-01-11,2011,01
1811,ZX,35838,Oregon,No,Premium,Master,Employed,F,Rural,Married,Personal Auto,1,1,Agent,Four-Door Car,Medsize,2011-01-25,2011,01
1812,LU,42720,Nevada,No,Extended,College,Employed,M,Suburban,Divorced,Personal Auto,2,3,Call Center,SUV,Medsize,2011-02-20,2011,02
1813,FB,25242,Oregon,No,Basic,College,Employed,M,Suburban,Married,Corporate Auto,3,1,Call Center,Four-Door Car,Medsize,2011-01-15,2011,01
1814,RW,51650,Oregon,Yes,Basic,Bachelor,Employed,M,Suburban,Single,Personal Auto,2,1,Agent,Four-Door Car,Medsize,2011-02-18,2011,02
1815,XX,94684,Nevada,No,Extended,High School or Below,Employed,M,Suburban,Single,Personal Auto,2,1,Agent,Sports Car,Small,2011-01-28,2011,01
1816,AH,99727,Arizona,No,Basic,Bachelor,Disabled,F,Suburban,Married,Personal Auto,3,2,Branch,Four-Door Car,Medsize,2011-01-05,2011,01
1817,NZ,85858,Arizona,No,Basic,High School or Below,Employed,F,Urban,Married,Personal Auto,3,2,Branch,Four-Door Car,Small,2011-01-29,2011,01
1818,JU,19953,California,No,Basic,Master,Employed,F,Urban,Married,Personal Auto,3,3,Branch,Two-Door Car,Medsize,2011-01-08,2011,01
1819,LC,33025,Oregon,No,Extended,College,Employed,M,Suburban,Married,Personal Auto,2,1,Call Center,Luxury Car,Medsize,2011-02-14,2011,02
1820,BV,86143,California,No,Basic,High School or Below,Employed,F,Urban,Married,Personal Auto,2,4,Call Center,Four-Door Car,Medsize,2011-02-23,2011,02
1821,AY,88788,Oregon,No,Basic,College,Employed,F,Urban,Married,Personal Auto,3,1,Branch,Luxury SUV,Medsize,2011-01-03,2011,01
1822,OJ,33945,Oregon,No,Basic,High School or Below,Employed,F,Rural,Divorced,Personal Auto,1,3,Agent,Two-Door Car,Medsize,2011-01-08,2011,01
1823,LO,84523,Oregon,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,2,2,Web,Luxury Car,Medsize,2011-02-04,2011,02
1824,GJ,43254,Washington,No,Extended,College,Employed,M,Rural,Married,Corporate Auto,2,1,Call Center,Two-Door Car,Medsize,2011-01-22,2011,01
1825,AR,96516,Oregon,No,Basic,Bachelor,Employed,F,Suburban,Married,Personal Auto,1,2,Web,Two-Door Car,Medsize,2011-01-28,2011,01
1826,WH,11924,Washington,No,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,2,4,Web,Two-Door Car,Large,2011-02-05,2011,02
1827,DL,26809,Nevada,No,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,3,1,Agent,Two-Door Car,Small,2011-02-27,2011,02
1828,MV,69686,Oregon,No,Extended,Doctor,Employed,F,Urban,Married,Corporate Auto,2,1,Agent,Four-Door Car,Large,2011-01-03,2011,01
1829,SC,95565,Nevada,No,Basic,High School or Below,Employed,F,Urban,Married,Personal Auto,1,4,Branch,Two-Door Car,Medsize,2011-02-15,2011,02
1830,RL,31641,Oregon,No,Basic,College,Unemployed,F,Suburban,Single,Personal Auto,3,3,Web,Two-Door Car,Medsize,2011-01-29,2011,01
1831,OH,83248,California,No,Premium,Master,Employed,M,Urban,Married,Personal Auto,3,4,Call Center,Four-Door Car,Medsize,2011-01-01,2011,01
1832,DB,28979,California,No,Basic,Bachelor,Employed,M,Suburban,Divorced,Corporate Auto,3,3,Agent,Two-Door Car,Medsize,2011-01-26,2011,01
1833,ZS,32263,California,No,Extended,High School or Below,Employed,F,Suburban,Divorced,Personal Auto,1,2,Agent,Four-Door Car,Medsize,2011-02-22,2011,02
1834,IY,59173,Oregon,No,Extended,Master,Employed,F,Suburban,Married,Personal Auto,3,1,Call Center,SUV,Medsize,2011-01-06,2011,01
1835,KL,17620,California,No,Basic,College,Disabled,F,Suburban,Single,Corporate Auto,1,4,Web,Four-Door Car,Medsize,2011-01-28,2011,01
1836,CP,28581,Arizona,No,Basic,College,Employed,M,Rural,Married,Personal Auto,3,1,Branch,SUV,Medsize,2011-02-11,2011,02
1837,QR,15592,Arizona,No,Basic,Bachelor,Employed,F,Rural,Divorced,Personal Auto,1,2,Branch,Four-Door Car,Medsize,2011-02-18,2011,02
1838,DX,98298,Washington,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,1,4,Agent,Sports Car,Small,2011-01-08,2011,01
1839,TG,68823,Arizona,Yes,Basic,Bachelor,Employed,F,Suburban,Married,Personal Auto,3,2,Call Center,Four-Door Car,Small,2011-01-12,2011,01
1840,WO,78310,Oregon,No,Basic,College,Unemployed,F,Suburban,Single,Personal Auto,2,1,Branch,Four-Door Car,Large,2011-02-08,2011,02
1841,SC,78905,Oregon,No,Basic,College,Unemployed,F,Suburban,Married,Personal Auto,2,3,Agent,Four-Door Car,Small,2011-02-04,2011,02
1842,EL,88957,California,No,Basic,College,Unemployed,M,Suburban,Married,Personal Auto,3,1,Agent,SUV,Medsize,2011-01-14,2011,01
1843,SS,54050,California,No,Basic,Bachelor,Employed,M,Suburban,Married,Personal Auto,3,1,Branch,Four-Door Car,Small,2011-01-11,2011,01
1844,ZV,99487,Arizona,No,Extended,Bachelor,Unemployed,F,Rural,Married,Personal Auto,1,1,Call Center,Four-Door Car,Medsize,2011-01-11,2011,01
1845,XI,51746,Oregon,No,Basic,Bachelor,Employed,F,Urban,Married,Personal Auto,3,3,Call Center,SUV,Medsize,2011-01-21,2011,01
1846,KG,85675,Nevada,Yes,Extended,Bachelor,Medical Leave,F,Suburban,Married,Personal Auto,3,2,Agent,SUV,Small,2011-01-10,2011,01
1847,KK,64803,California,No,Extended,High School or Below,Employed,M,Suburban,Married,Personal Auto,2,2,Branch,Four-Door Car,Medsize,2011-02-05,2011,02
1848,OM,80593,California,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,3,1,Call Center,SUV,Medsize,2011-02-23,2011,02
1849,RL,59810,Oregon,No,Basic,College,Employed,F,Urban,Married,Personal Auto,3,3,Agent,Four-Door Car,Medsize,2011-02-18,2011,02
1850,QQ,53360,Nevada,No,Extended,College,Unemployed,M,Suburban,Married,Personal Auto,2,3,Agent,Two-Door Car,Medsize,2011-01-13,2011,01
1851,WR,76339,California,No,Basic,College,Employed,M,Suburban,Married,Corporate Auto,3,1,Branch,Two-Door Car,Medsize,2011-01-11,2011,01
1852,BA,40043,California,No,Basic,College,Employed,M,Rural,Single,Corporate Auto,2,2,Branch,Four-Door Car,Medsize,2011-01-03,2011,01
1853,MK,52197,Nevada,No,Basic,Master,Unemployed,F,Suburban,Married,Personal Auto,3,1,Branch,Four-Door Car,Medsize,2011-02-08,2011,02
1854,SV,48204,Oregon,Yes,Extended,College,Employed,F,Rural,Divorced,Personal Auto,3,2,Agent,Four-Door Car,Medsize,2011-02-01,2011,02
1855,RJ,79502,Arizona,No,Basic,Bachelor,Employed,M,Urban,Divorced,Personal Auto,3,3,Call Center,SUV,Small,2011-02-08,2011,02
1856,SM,14243,Washington,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,3,1,Call Center,Four-Door Car,Medsize,2011-02-26,2011,02
1857,NL,32558,Arizona,Yes,Extended,High School or Below,Disabled,F,Suburban,Married,Personal Auto,1,1,Agent,Two-Door Car,Small,2011-02-19,2011,02
1858,CP,92616,Nevada,No,Extended,High School or Below,Employed,M,Urban,Married,Personal Auto,1,3,Agent,Luxury SUV,Small,2011-02-25,2011,02
1859,BP,28492,Arizona,Yes,Basic,College,Employed,F,Suburban,Divorced,Corporate Auto,3,2,Call Center,Four-Door Car,Medsize,2011-01-31,2011,01
1860,MX,28412,Oregon,No,Basic,College,Medical Leave,F,Suburban,Married,Personal Auto,2,4,Web,Four-Door Car,Medsize,2011-01-13,2011,01
1861,DT,99586,California,No,Basic,Master,Employed,F,Rural,Married,Personal Auto,3,1,Agent,SUV,Medsize,2011-02-08,2011,02
1862,IC,41932,Nevada,No,Basic,College,Employed,M,Suburban,Divorced,Personal Auto,3,1,Call Center,SUV,Medsize,2011-01-04,2011,01
1863,DA,35744,Oregon,No,Basic,Doctor,Employed,M,Rural,Single,Corporate Auto,3,4,Agent,Four-Door Car,Small,2011-01-10,2011,01
1864,GU,96042,California,No,Basic,High School or Below,Employed,M,Urban,Married,Corporate Auto,3,1,Agent,Two-Door Car,Medsize,2011-02-04,2011,02
1865,UW,98698,California,No,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,3,4,Agent,Four-Door Car,Medsize,2011-02-08,2011,02
1866,SF,32458,California,No,Basic,Doctor,Medical Leave,M,Urban,Married,Personal Auto,1,1,Agent,Four-Door Car,Medsize,2011-01-30,2011,01
1867,OM,85313,California,No,Basic,Master,Employed,M,Urban,Married,Personal Auto,3,2,Agent,Four-Door Car,Medsize,2011-01-15,2011,01
1868,MH,81246,Oregon,No,Extended,High School or Below,Employed,M,Urban,Married,Corporate Auto,2,1,Agent,Four-Door Car,Medsize,2011-02-17,2011,02
1869,OH,99089,California,No,Basic,Master,Employed,F,Rural,Married,Personal Auto,3,2,Branch,Four-Door Car,Medsize,2011-02-22,2011,02
1870,TG,57800,Oregon,No,Basic,College,Unemployed,F,Suburban,Single,Personal Auto,2,1,Call Center,Two-Door Car,Medsize,2011-01-13,2011,01
1871,GX,19342,California,No,Premium,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,3,1,Branch,Four-Door Car,Large,2011-01-28,2011,01
1872,XE,39286,Arizona,No,Extended,Bachelor,Employed,F,Suburban,Married,Personal Auto,2,4,Web,Sports Car,Small,2011-01-03,2011,01
1873,JA,93297,California,Yes,Basic,Bachelor,Retired,M,Suburban,Married,Personal Auto,2,1,Branch,Four-Door Car,Medsize,2011-01-25,2011,01
1874,II,37789,Arizona,No,Extended,College,Unemployed,F,Suburban,Single,Corporate Auto,3,1,Branch,Four-Door Car,Large,2011-02-18,2011,02
1875,IC,32996,Oregon,No,Basic,High School or Below,Employed,M,Urban,Married,Corporate Auto,3,4,Agent,Two-Door Car,Medsize,2011-02-09,2011,02
