Customer,customer_lifetime_value,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,total_claim_amount
GH31557,2684.581561,98121,67,22,49,0,1,383.655742
WI89081,10392.96347,93495,129,8,0,0,9,618.20653
IO27771,9036.657561,89382,112,2,61,0,3,573.990258
HB99061,5352.18703,97742,132,6,52,0,1,199.590599
HQ82089,11880.96623,0,114,29,96,0,2,820.8
JN72184,2557.094323,0,73,30,8,0,1,525.6
WQ46946,7914.82311,77153,99,3,27,1,5,355.641958
WJ44028,9840.082616,94590,81,26,31,0,2,388.8
WH77063,4351.550504,74163,108,14,63,0,1,518.4
FI13966,22207.82615,40450,287,8,20,3,7,1377.6
AQ46199,4825.258632,0,71,8,30,0,8,511.2
WV69362,6947.838781,0,99,12,77,0,4,475.2
RJ90816,3344.809462,33243,85,13,19,0,1,24.555177
NH19236,2357.503128,0,64,25,80,0,1,199.791024
VW88911,35944.71048,0,114,33,55,0,2,820.8
NV14535,10408.96865,20228,101,3,43,1,2,523.815839
BM66931,4048.16129,92801,100,24,23,0,1,407.045238
JW24035,6852.001946,0,69,7,45,1,2,406.999443
PG82270,2903.024168,36845,74,14,33,0,1,355.2
RW65101,18039.11422,0,63,28,82,0,2,503.204804
QO79771,3242.043926,72330,81,2,50,2,1,126.509441
EC44438,2467.620791,19352,65,16,0,0,1,724.463534
MW54213,5674.383424,0,62,13,6,5,2,297.6
ZN33412,8634.355958,25073,79,3,84,0,2,379.2
HZ56678,2780.196856,20261,72,4,55,0,1,345.6
AN36757,22056.00496,66851,92,10,70,2,2,408.550442
NB54665,2514.59196,43860,65,15,58,0,1,156.124914
MG99229,5886.221122,0,180,21,68,0,1,1777.471271
MX76292,7706.036295,48019,64,15,94,0,2,137.665031
EJ90880,2790.458197,28786,71,30,69,1,1,345.619809
WO95180,2397.036098,22283,65,16,93,0,1,572.072106
BU53191,8834.322784,34133,111,0,72,0,7,226.9684
ZK54897,14435.67365,60880,119,25,89,0,2,109.906628
PP48389,6871.966648,0,196,5,59,2,1,940.8
XD29421,15362.35442,48115,192,15,67,0,5,1382.4
OP26403,4834.797545,32017,62,9,10,2,7,297.6
XK15687,10899.30177,58518,136,17,9,0,3,323.637414
ED29955,5284.041003,61542,67,33,83,0,6,321.6
QT84720,2891.726781,56761,73,31,80,1,1,85.146928
ZH35315,4900.545112,22976,66,19,33,0,4,345.951322
EE76374,20842.5963,0,72,14,29,0,2,709.082334
RF72106,8415.644389,0,62,8,98,0,2,446.4
BS13111,6630.836094,0,66,20,53,0,2,315.950185
JP12645,12036.62051,44428,104,17,61,0,2,499.2
ZF28570,3895.034766,52361,102,13,78,0,1,645.952371
UU93074,11701.06985,32435,297,24,68,0,1,1767.348807
SZ60450,3419.108695,40272,86,8,64,0,1,23.387192
HL63895,7302.775082,30492,61,32,68,0,2,171.38289
UD27196,19685.40911,51524,244,6,30,0,3,1171.2
OU53351,2486.064902,36635,63,20,28,0,1,302.4
SX50964,5224.328801,83389,65,5,57,0,3,209.25613
RP30093,49221.43073,63035,153,20,97,0,2,734.4
BK73302,3167.888725,61638,82,3,55,2,1,544.340079
CS93971,7805.31287,21073,106,25,54,1,3,508.8
RG13940,13197.92893,0,68,19,2,3,2,326.4
ZG94155,6234.305918,0,82,26,12,0,9,192.7604
QN15356,7539.600588,0,74,23,64,0,2,532.8
MZ16820,8157.933629,86811,102,19,22,0,5,489.6
DO98345,13156.74895,72517,82,33,27,0,2,371.458196
EQ69638,5107.624201,0,77,2,71,0,9,554.4
UK76814,5339.388388,84424,66,18,71,0,9,231.537001
SR30440,8649.175023,43383,109,7,60,0,8,757.593913
XE66367,7519.133631,96306,95,12,17,1,6,185.355353
SZ70655,4293.009593,0,61,18,15,0,8,292.8
LX99948,4529.062612,65134,112,28,48,0,1,529.147483
DK98861,13160.3389,94125,109,33,21,0,2,341.680131
JX14364,13235.54436,39778,112,23,49,0,2,806.4
LI85491,3744.577726,0,101,3,32,0,1,727.2
JY87538,28486.0728,91871,102,5,3,0,2,346.845129
VE55982,2644.684556,54000,66,15,45,0,1,373.881547
WK99918,5073.282126,57709,125,10,26,0,1,600.0
XP16538,4272.585137,81132,107,19,52,0,1,419.105559
HW42900,11003.01645,22926,93,1,99,0,2,479.934846
JG84729,14181.64282,0,72,15,91,2,2,345.6
UX71137,8875.965501,69205,110,20,56,0,6,372.362565
ND29059,11077.68591,78011,138,14,42,0,3,619.698644
HC76653,2435.689035,32931,62,16,45,0,1,297.6
SG73822,8743.852187,99517,109,2,93,0,3,239.905208
CB44654,2409.760898,59665,62,33,3,1,1,167.138119
MQ15074,2499.498786,28082,64,9,63,0,1,578.499499
YJ43481,8528.288669,91099,107,14,37,0,3,406.430632
TP15362,3591.996064,28013,91,16,13,0,1,655.2
YX90754,8539.826923,55478,71,7,1,0,2,339.399593
TQ32702,6990.917824,22568,88,31,63,0,6,422.4
TS50305,3979.388247,0,112,11,3,0,1,806.4
BY22068,23950.37443,39335,201,0,11,0,2,964.8
TJ48439,2321.052528,0,66,0,10,0,1,508.703134
TE61015,5087.020469,0,72,12,70,0,3,345.6
RD89159,4362.931238,58842,110,6,74,0,1,528.0
VW86720,7457.468107,0,69,15,73,0,2,678.209827
UM76485,7027.759594,0,102,11,90,0,5,489.6
LS62045,2831.683664,70037,70,6,61,0,1,409.985435
ZG84862,4217.857932,0,62,19,75,0,3,446.4
CD76093,7596.291531,59847,192,28,62,0,1,921.6
FO99259,8365.677648,26630,118,19,27,0,8,581.077056
KN87338,2726.392968,48039,68,4,37,0,1,11.451889
LT89398,3420.452207,0,92,2,38,0,1,441.6
NZ19529,4839.107156,0,137,18,50,0,1,1227.458548
PR41853,4358.553534,0,118,18,91,0,1,101.826804
LH92841,7255.953792,88891,89,17,56,0,3,50.528355
XR84971,23515.85325,36537,85,19,4,0,2,165.309001
BP83941,8396.327608,0,115,18,80,1,3,552.0
PY80449,5170.976384,53603,132,30,1,1,1,697.272246
ET22260,5585.30807,0,80,14,17,0,9,6.281344
OF47250,8639.49502,92374,107,16,9,1,3,220.018279
WB58031,5281.833471,39658,66,32,53,0,7,316.8
UV80201,8385.252347,0,116,0,35,0,7,556.8
PY10605,4633.101259,0,70,0,86,0,3,336.0
JI82682,2480.392738,0,65,1,60,0,1,328.314222
BU14748,3618.686938,50755,91,21,25,0,1,436.8
QS75550,2480.045899,93383,62,31,64,0,1,244.212286
LD26428,4893.291507,0,73,11,56,0,5,680.047456
MY43761,10737.68425,50607,137,15,0,0,9,657.6
LO77543,2616.613903,72302,66,6,27,0,1,316.8
GY55415,15725.25053,0,149,16,70,0,2,1072.8
IB42395,9553.415528,0,146,20,14,0,4,1051.2
ZU74482,7507.455372,60920,64,10,61,0,2,231.201886
NL74789,7324.928202,0,105,4,98,0,6,504.0
YU86594,5333.038137,55674,66,10,95,0,3,81.710575
QN37451,12767.23056,0,189,28,90,0,5,2201.327879
HS28694,2829.863912,25317,71,15,97,0,1,50.422181
IL83479,3483.630439,42983,86,28,18,0,1,412.8
EF87528,4636.54647,26802,66,7,43,1,5,316.8
IV74747,17530.03658,0,97,27,96,0,2,469.229028
JZ81608,6978.719808,53808,88,26,91,0,7,189.835063
EO40136,2912.248444,93403,73,18,32,0,1,295.224598
ZR40902,4209.279338,26435,111,32,50,1,1,1012.249308
PO89542,5009.808888,0,68,21,69,0,7,326.4
FX57380,5217.513287,39854,66,6,4,0,7,261.930545
NM22175,11490.33618,0,161,0,94,0,3,1052.933035
BC97773,2864.544017,91368,71,13,95,0,1,395.328407
MN34012,8403.910248,0,115,11,63,0,8,552.0
KY29506,20395.96875,92850,104,3,28,1,2,499.2
LC44944,36470.3024,0,113,0,9,3,2,813.6
HC20975,16727.77186,30915,72,1,6,2,2,345.6
IF87079,5801.128252,48927,72,1,51,0,9,139.354893
EP18940,9472.973811,0,86,30,32,0,2,412.8
SB44003,10484.91535,61108,89,22,93,0,2,49.451117
MK15785,4387.31087,48015,110,24,57,0,1,528.0
VP89545,4522.883533,0,61,8,78,0,9,292.8
HJ58678,5418.152088,57587,68,4,83,0,7,257.090387
SH51981,5246.057249,70301,67,7,43,0,7,328.942798
IA52178,15785.29692,81119,196,3,67,0,3,940.8
WC42895,22110.39804,65724,70,13,66,0,2,14.518312
OP54725,9540.923395,53351,119,4,7,0,6,571.2
YM77369,4756.12617,56146,119,0,91,0,1,401.785805
WV15213,2447.053134,84658,62,21,93,0,1,44.780402
GX37592,5675.923323,33257,72,15,14,1,4,345.6
PA48777,2491.257604,25965,65,23,27,0,1,329.206567
YJ59924,7308.433864,31115,92,21,20,0,3,441.6
OO35641,32871.74779,78487,117,5,17,0,2,448.255019
EU54076,5228.92013,92472,65,0,3,0,3,240.221415
QH56750,20700.8645,0,64,9,17,0,2,460.8
VF32979,5800.171881,25472,73,5,86,0,9,350.4
ES16126,4330.38602,60475,107,9,18,0,1,513.6
PG42834,6292.735356,26577,79,9,40,0,7,73.719521
OY44814,4917.889638,0,71,27,81,0,5,511.2
JI97190,5165.810048,43461,64,24,47,0,6,307.2
ZK61113,6291.589959,0,94,2,61,0,6,676.8
MU88116,4582.67415,69085,113,10,14,0,1,472.271907
TP61305,6062.441614,0,84,1,94,0,5,604.8
ZO14864,3417.204953,42526,86,12,71,0,1,287.5426
KP65334,5830.561364,0,77,11,36,0,6,783.431945
OH15677,3742.579083,0,110,35,78,1,1,1272.546918
HB53755,3849.596697,0,106,10,32,0,1,763.2
UF77079,15265.81488,58361,95,17,16,0,2,43.599861
TD20252,5317.807221,74092,67,17,72,0,3,321.6
TH68362,2374.80917,0,64,2,52,0,1,380.822087
JC45487,5639.941974,73168,70,21,50,0,3,425.800112
PU95227,3362.414442,22853,87,16,89,0,1,316.35678
CV72453,4512.204391,0,125,6,44,0,1,900.0
OY92520,7264.803903,12075,94,16,23,0,5,451.2
UY95530,8658.863813,62464,109,23,45,0,4,400.181882
FB84235,5498.940679,22520,73,17,64,0,3,350.4
MJ14480,5599.382893,35012,72,0,50,0,6,345.6
KW81128,15228.19865,95140,126,6,52,0,2,45.049185
DQ98402,3644.833554,82477,90,1,69,0,1,432.0
WN53966,3693.440833,85871,92,4,25,1,1,112.633539
LM34525,8742.05776,71592,72,15,18,0,2,141.725051
GF97874,5275.626956,70446,65,31,99,0,9,155.570802
WV79842,9283.737773,24314,235,20,60,0,1,1128.0
DF40318,2551.226692,79751,63,15,67,0,1,392.235698
TN90661,5811.918112,83318,72,21,58,0,3,345.6
ZU88029,4064.670639,26161,109,8,70,0,1,594.444586
TQ88221,2841.443088,30473,72,20,35,0,1,450.080101
KH34667,6832.133872,50472,87,6,67,0,3,281.163705
HW54198,5201.971427,94186,64,20,50,0,3,135.340489
GZ79662,5484.588155,47611,69,17,65,0,4,593.654484
YA11342,7672.681366,0,103,17,56,0,4,518.720216
ZW18871,8272.485353,91245,69,16,50,0,2,19.251693
QZ17137,3330.672761,45944,83,20,4,0,1,182.948495
UV53712,5562.456386,59649,69,33,71,1,8,167.738267
SJ43436,2452.738575,52785,61,2,90,0,1,45.721456
VW46878,7920.28288,59648,66,20,72,0,2,316.8
TW91179,3861.486269,93272,95,3,54,0,1,281.110788
LG19551,5764.784159,22134,72,13,81,0,3,445.879224
QK18099,5375.842787,69050,67,17,38,0,3,334.892437
WN14473,2882.350556,87798,71,18,73,0,1,204.448708
WH62198,2213.187935,0,63,0,66,0,1,305.552429
SP85148,9429.629367,43811,117,24,10,0,4,571.136574
FB49203,6239.257541,0,91,25,63,0,3,655.2
FF94341,7668.809595,92456,95,8,3,0,4,456.0
TS42594,13770.97618,59207,116,23,21,0,2,556.8
IL43607,2742.844251,64519,69,6,29,1,1,331.2
FL85008,13466.92071,11432,119,11,9,0,2,571.2
AN47199,8858.352032,0,80,6,28,0,2,81.255741
SV28347,8485.330004,32607,111,27,79,1,8,532.8
IC78105,7744.644444,26444,196,4,14,0,1,940.8
RB28630,5894.907375,39381,74,6,55,1,7,355.2
KA32645,5770.684097,0,83,21,67,0,8,946.345269
QD73891,5261.117506,90217,66,14,88,1,5,316.8
LM58949,2403.53947,24248,70,33,82,3,1,336.0
YG40323,9124.600015,99368,113,34,6,0,3,82.427785
EP82214,26180.80528,68189,82,10,17,1,2,343.121192
EO91797,15641.25856,32370,130,31,84,0,2,487.736171
RU50098,2574.020376,34990,65,23,73,0,1,42.689135
QW10541,5319.838729,25714,67,17,57,0,5,321.6
SB50826,7496.006588,61091,95,17,64,0,8,409.868003
XX29952,12174.58958,88184,104,5,97,3,2,240.176533
AT93647,2605.570828,60252,65,10,8,0,1,182.436205
QP56563,2707.20846,80985,67,0,52,0,1,124.933587
TN76120,5528.212807,36088,72,16,31,0,9,345.6
TY43440,8819.018934,99845,110,23,25,1,8,528.0
WO59883,19014.47625,29822,61,17,44,0,2,292.8
MM45334,8169.513982,40803,71,8,19,3,2,122.912377
KH93988,7708.883885,71134,98,21,95,3,8,196.37368
RY38931,5528.212807,36088,72,16,31,0,9,345.6
CV48634,12128.4467,29431,103,29,35,0,2,237.896227
IH48064,9080.28284,68073,114,16,63,0,8,547.2
ZS96174,6796.844769,17937,65,1,27,0,2,312.0
MI62456,2867.312197,23376,78,19,18,0,1,374.4
DD44177,2395.57,21986,63,1,9,0,1,333.696228
NX31380,7094.167717,23032,89,30,22,0,7,427.2
KQ43374,4128.091334,32114,104,22,50,0,1,445.29049
XA54112,4046.936065,13330,117,33,74,0,1,561.6
QB14087,4869.282783,44934,61,9,60,0,4,357.926979
FV42881,2902.151897,96137,73,17,34,2,1,67.490616
AV76907,4282.947971,40864,109,16,70,1,1,166.937747
VM85555,7750.120323,22668,67,5,34,1,2,33.718553
ZU88113,6627.174629,90751,82,2,22,1,8,315.826382
SZ75668,7474.605769,44186,64,9,96,2,2,295.04969
MZ65087,5561.291397,92678,70,0,67,0,3,34.689611
EL61402,6098.462114,74257,76,16,91,0,3,214.586742
CJ31839,2859.52893,99981,71,2,22,0,1,204.872273
XM11175,5994.424627,0,91,26,89,0,6,655.2
LF41085,5635.249486,19591,74,8,79,0,4,95.925021
MB19556,5067.208338,29095,127,2,80,0,1,664.280864
HC74532,2263.284608,0,62,25,15,0,1,389.750793
SB66770,14435.67365,60880,119,25,89,0,2,109.906628
JI25066,4928.397077,61785,61,31,47,0,5,271.10697
PY98958,12036.62051,44428,104,17,61,0,2,499.2
RA65645,8564.768226,95697,107,29,29,0,9,178.006524
FQ79356,2361.883909,18064,63,10,45,2,1,182.964184
TM25808,5565.693282,74720,70,15,99,0,3,200.812425
XO46388,5146.80976,22594,67,22,41,0,3,321.6
LB81265,2938.080327,40987,73,6,15,0,1,329.013275
JR38787,14432.74644,24561,126,1,31,0,2,853.473552
KZ22690,13027.41984,76456,83,27,34,1,2,42.693918
NY49598,2451.988783,65828,62,22,3,0,1,297.6
KY39767,4661.984144,0,68,0,48,1,5,489.6
YU35386,5600.010179,63621,70,8,48,0,5,444.620265
TF82172,4016.132772,10074,107,33,42,0,1,108.995934
ER40041,22195.80299,78965,183,3,78,0,2,145.587985
MS39869,7343.353716,0,68,16,57,0,2,479.028818
PV77906,4804.514274,23604,64,4,86,0,8,460.8
QF21045,2735.538859,99205,68,7,21,0,1,323.246017
HF65914,6940.972823,0,92,4,60,0,3,441.6
AJ58038,2396.219292,0,66,6,71,2,1,433.160284
ZR88383,5380.898636,55350,67,0,13,0,9,321.6
OT49339,8432.815731,21052,111,12,55,0,5,453.578343
FI74985,7556.507482,0,69,5,64,0,2,496.8
JW15301,7787.431684,24664,69,12,15,0,2,496.8
PY20159,4787.812897,45225,124,15,83,0,1,209.176923
NC42524,9707.647552,30430,86,6,77,0,2,425.662574
ZG19911,2552.226197,35149,64,26,33,0,1,120.477298
DI89983,5223.429265,16513,71,23,37,0,6,340.8
IG56214,5010.44933,10892,66,16,9,0,3,316.8
LC59148,5597.12496,37995,139,16,50,0,1,667.2
UO95739,4457.936252,54704,113,6,75,0,1,468.176056
SB64873,8200.78728,25381,71,22,62,0,2,340.8
TE82896,2746.080105,0,74,5,75,0,1,355.2
VY64199,10215.77915,18150,67,17,34,0,2,220.304649
IE82679,2453.570794,29735,69,3,92,0,1,331.2
SL70257,5872.958817,77156,73,30,39,0,7,445.817914
XJ85947,3118.927949,88782,78,6,38,0,1,357.757645
EF84269,5568.656492,51489,139,14,10,0,1,236.739322
NY91328,9029.71466,16972,125,17,89,0,5,600.0
AT49447,7591.827171,99359,95,16,19,0,9,233.265397
BM70908,2255.312942,58289,62,18,92,4,1,297.6
GM63998,32613.69038,45173,268,20,57,0,2,1286.4
AR61426,9445.649461,93246,78,31,24,0,2,41.628869
CB62406,6803.596768,43758,171,16,29,0,1,1129.929433
WH82416,9766.217126,75651,81,23,60,0,2,375.11129
UI53874,7294.846132,0,67,13,91,0,2,321.6
LM44949,5682.515346,36938,70,32,31,0,3,244.801119
JR59597,6332.941818,50843,82,12,65,0,3,393.6
ZS22428,4916.577034,21907,62,6,47,0,3,2.96438
AZ34845,4798.240889,77846,119,8,45,0,1,342.471939
FL67726,10408.96865,20228,101,3,43,1,2,523.815839
QU20310,9247.464417,97030,76,14,24,0,2,416.637499
NQ42020,7322.92885,80864,182,5,30,0,1,618.210272
ZF40143,8275.900104,48197,106,10,61,0,6,508.8
GU65780,5635.403677,70837,73,7,19,4,3,362.743231
KY32675,14970.28509,85297,93,7,91,0,2,620.011594
ZX35838,9336.336922,70177,115,12,34,0,8,225.517666
LU42720,48356.96084,52499,138,0,61,0,2,1171.537594
FB25242,5686.915259,63143,71,31,85,0,3,340.8
RW51650,8622.835375,97361,73,6,85,0,2,350.4
XX94684,5079.674786,50052,130,6,50,0,1,624.0
AH99727,5623.314472,11612,71,20,92,0,5,340.8
NZ85858,5270.013569,78115,65,1,12,0,4,255.454322
JU19953,8621.172176,81947,71,12,78,0,2,203.993499
LC33025,7918.334928,44698,211,0,88,4,1,1012.8
BV86143,21034.01815,26876,66,12,53,0,2,219.209762
AY88788,15417.6822,69841,192,0,66,0,7,878.812468
OJ33945,8692.636838,97768,72,22,14,0,2,151.843731
LO84523,6503.143913,0,187,6,12,0,1,1588.682955
GJ43254,31642.10463,89057,98,17,90,0,2,187.363583
AR96516,5914.951808,50217,74,18,2,0,9,355.2
WH11924,4645.839058,0,71,3,33,0,3,697.186307
DL26809,6826.797741,0,68,13,26,0,2,489.6
MV69686,3982.180708,38500,99,26,49,1,1,423.286512
SC95565,2887.779742,62018,71,21,0,0,1,293.865315
RL31641,2252.416825,0,65,13,84,0,1,468.0
OH83248,8458.531323,57394,106,8,11,0,3,316.492058
DB28979,7478.313695,23530,65,22,34,0,2,312.0
ZS32263,3788.649817,48887,95,26,25,0,1,456.0
IY59173,5220.685297,68867,129,19,91,0,1,619.2
KL17620,7130.294828,12062,63,3,42,0,2,302.4
CP28581,8513.592687,59230,107,11,56,0,5,245.076091
QR15592,5660.133806,59586,72,6,70,0,3,91.198362
DX98298,4082.170583,57506,102,24,43,0,1,615.243841
TG68823,5318.89664,25134,67,3,0,0,6,321.6
WO78310,4160.162571,0,61,3,58,0,5,292.8
SC78905,2237.347771,0,61,19,44,0,1,292.8
EL88957,3460.12299,0,100,15,96,1,1,720.0
SS54050,16005.50507,44901,70,15,56,2,2,460.806124
ZV99487,6986.603722,0,93,21,8,0,3,149.269407
XI51746,8826.961501,28463,113,0,45,2,7,324.317667
KG85675,4726.869327,13037,124,28,49,0,1,839.348464
KK64803,27443.47482,82320,99,4,2,1,2,475.2
OM80593,7247.313475,0,104,9,58,0,7,499.2
RL59810,5137.852105,78460,64,3,93,0,4,203.568733
QQ53360,2739.05724,0,92,26,11,4,1,657.290491
WR76339,5092.793862,46922,64,34,12,0,3,403.385123
BA40043,5799.826802,60689,74,29,67,0,7,5.746657
MK52197,5507.063242,0,71,3,38,0,3,340.8
SV48204,10484.91535,61108,89,22,93,0,2,49.451117
RJ79502,8501.279969,98003,107,4,46,0,7,449.408637
SM14243,8426.057283,0,74,30,37,0,2,460.084192
NL32558,6503.397049,22081,84,1,9,0,6,451.670309
CP92616,46805.22306,83006,235,8,61,1,2,1065.049894
BP28492,4834.710493,38713,66,31,69,4,6,316.8
MX28412,2575.3237,28700,68,2,65,3,1,326.4
DT99586,37111.65952,61552,115,1,95,0,2,12.252847
IC41932,4371.190437,56718,113,7,95,1,1,542.4
DA35744,16796.33604,66776,71,11,45,0,2,131.808343
GU96042,7988.506358,58268,67,12,82,0,2,228.641342
UW98698,2269.841123,0,68,22,43,0,1,542.016902
SF32458,4991.47197,12608,66,23,72,1,3,214.866605
OM85313,2921.930882,63499,73,21,79,0,1,278.964095
MH81246,7613.193095,36247,96,35,29,0,7,329.522858
OH99089,5827.409742,30228,73,28,44,0,5,163.345647
TG57800,2600.641181,0,74,19,4,0,1,501.472124
GX19342,8491.465719,0,116,3,97,0,3,1193.115879
XE39286,9778.733613,99364,121,3,37,0,5,580.8
JA93297,22658.53652,23665,67,19,50,0,2,404.817249
II37789,10004.02761,0,94,7,4,0,2,807.168846
IC32996,4872.774396,69247,61,12,64,1,3,226.522147
LO67195,7444.814633,56047,92,26,29,0,5,82.733588
PG93638,5761.11121,28919,73,11,76,0,5,207.828024
OZ41737,5366.779081,0,70,5,29,0,4,223.174067
OY66019,6259.477847,0,83,8,78,0,4,254.142365
CH73843,7623.580733,69900,64,23,68,0,2,33.97
XT93203,10963.95723,55687,276,33,91,0,1,1324.8
OR85652,7427.845088,78294,92,6,35,0,3,181.148732
YD87931,4951.656084,46896,62,9,33,1,4,31.707317
XK11432,4665.129599,0,62,26,62,0,3,297.6
OX24868,6021.842473,0,168,11,46,0,1,1476.670903
EZ74530,3074.105486,0,104,25,33,3,1,748.8
HP46467,4953.086407,21385,127,14,37,0,1,609.6
KP54476,7780.489322,87128,97,26,45,0,3,495.612777
AI47152,7992.779105,35434,66,19,26,0,2,297.051768
BU15334,4170.687348,29462,107,28,23,1,1,513.6
GD59796,23228.23674,53243,102,26,96,3,2,489.6
OX59701,5445.81699,21006,139,14,9,1,1,667.2
OD63728,4558.498445,0,65,24,93,0,9,312.0
JC38573,5528.212807,36088,72,16,31,0,9,345.6
RC11491,10390.66647,28948,131,7,57,0,3,295.83086
RZ24101,7142.54905,24417,185,22,25,0,1,888.0
OB88698,5469.542959,67099,69,11,24,0,6,22.995594
IK92617,11628.73401,97830,96,3,61,0,2,298.362415
YH43996,10189.65429,0,101,15,90,0,2,727.2
BJ65040,2733.431887,93558,67,19,5,0,1,478.234236
WY57101,4014.453113,37384,99,9,17,0,1,475.2
OG77759,7119.531925,28227,62,14,24,0,2,551.28213
HN38084,11772.79068,51008,74,5,95,0,2,355.2
GD11927,2381.790787,78185,61,23,54,0,1,292.8
MC20349,5208.35385,0,74,35,2,0,3,532.8
HM22034,5018.727893,0,68,34,68,0,4,670.47746
KH48996,11900.54484,97205,100,22,40,2,2,5.573179
VM34210,7399.032079,0,101,28,34,0,6,337.617149
LS90887,5674.381244,26225,72,18,25,1,7,320.777404
EN72010,7271.43404,20545,70,23,86,0,2,336.0
KH44031,3164.494011,0,83,20,32,0,1,398.4
GJ47896,2661.033435,35503,67,14,95,0,1,216.173135
GD87742,14140.55885,58988,118,3,76,0,2,566.4
MD14027,7654.227067,0,74,16,89,1,2,355.2
XA32915,2199.73952,0,64,21,5,0,1,685.456738
XR52852,2004.350666,0,66,16,35,4,1,316.8
EZ48947,13111.11319,67197,111,2,9,0,2,147.948783
OJ50322,15762.60349,39032,198,31,15,0,7,950.4
XB77333,13197.92893,0,68,19,2,3,2,326.4
QB58745,2787.539793,34927,70,5,2,0,1,242.491357
IG62421,3436.134281,30817,88,25,43,0,1,91.834668
SF29724,2713.36798,31535,70,27,46,0,1,90.525716
WM95454,2867.312197,23376,78,19,18,0,1,374.4
CB96381,14590.24583,46244,62,8,3,0,2,255.285875
MJ60422,6652.474492,34886,84,3,40,0,5,403.2
NC63295,2444.621056,0,66,27,51,0,1,316.8
JX76668,11314.24394,62935,141,29,27,0,7,232.242326
ZE76673,10972.06778,24164,137,2,40,0,5,657.6
XG19917,3189.66703,0,87,6,3,0,1,760.428495
WF34690,19357.37201,0,68,20,66,1,2,326.4
ZM28138,7227.120364,40153,61,1,99,0,2,340.07498
FI14842,7857.303868,0,104,12,7,0,3,499.2
KC32511,5181.620895,97131,64,5,80,0,6,307.2
NE10467,4281.062223,23712,106,2,12,0,1,508.8
PT93474,11513.16291,0,64,26,72,0,2,307.2
RL74454,5147.11023,33171,65,27,17,0,3,236.643695
DQ31994,8663.497618,0,83,18,90,1,2,398.4
DN98431,2535.321683,0,68,24,73,0,1,326.4
EV53200,21504.3388,60228,112,23,28,1,2,286.102971
AJ89107,7349.32849,27072,93,24,27,0,8,565.336931
WS25565,8509.850887,26057,74,3,63,0,2,523.888845
ZY33234,4297.189057,66331,107,0,74,0,1,513.6
QW17286,2778.323903,66030,69,33,19,1,1,282.153792
TO34442,5532.863336,59768,71,6,93,1,3,340.8
DG90902,17476.64139,45106,73,22,21,0,2,350.4
SW96063,10479.89966,78435,130,11,19,0,4,553.61131
CP19929,2242.574431,0,63,31,99,1,1,453.6
KR50062,2754.45676,79507,70,7,17,3,1,442.199439
CU19735,8041.20055,44986,101,14,83,0,3,624.023564
ST52914,6042.9119,25899,79,10,11,0,8,568.8
WQ68301,2827.43885,13610,74,7,64,0,1,355.2
LR33381,22041.85643,0,65,11,15,0,2,312.0
UR36912,2796.802191,77362,70,14,25,0,1,386.599797
SK46419,4072.849436,96443,102,1,17,0,1,489.6
BY88757,5182.462266,0,135,2,41,1,1,939.528475
ER65086,6131.663176,90778,76,31,29,0,7,62.291009
TP87527,2392.13114,0,65,11,62,0,1,361.181122
VL80291,3209.663044,78494,79,6,40,0,1,122.305677
WL45773,2808.606027,83497,69,28,15,0,1,196.523187
TT36693,4362.931238,58842,110,6,74,0,1,528.0
PT12544,6880.468875,63935,87,20,63,0,6,221.61885
CI24326,3591.066675,0,96,5,35,0,1,460.8
YQ73717,5201.252168,0,69,1,79,0,4,331.2
FG99706,5521.542577,0,77,20,89,0,9,369.6
OM63414,5071.651522,62258,65,14,17,0,5,117.450428
JQ74890,2921.681366,0,80,10,81,0,1,739.310493
FP93662,15806.53397,58516,98,14,75,0,2,470.4
PF40592,4942.630606,23285,65,30,22,0,7,118.446235
EW82164,4167.419574,56901,104,29,82,0,1,499.2
KV99550,6514.954043,0,61,12,75,1,2,292.8
CA96230,9189.518267,99443,117,6,6,4,5,228.049424
QN17712,8231.223361,0,113,4,70,0,4,373.073162
KM79894,3095.175379,88246,77,3,27,1,1,428.608683
YC54142,74228.51604,0,242,1,34,0,2,1742.4
DZ45471,7582.113842,64801,64,23,19,0,2,268.471802
DE18949,16344.60809,57029,68,24,97,0,2,135.788525
BN74268,11763.15249,28045,99,7,99,0,2,475.2
QJ93301,4053.373793,44661,101,2,1,0,1,436.836944
OO92815,3311.15793,21246,83,19,51,0,1,398.4
HV50891,3528.044252,31278,92,24,95,4,1,441.6
RK59543,5595.389905,74454,71,25,29,0,3,340.8
IH54239,5089.694325,62474,63,20,63,0,5,112.120881
GB14456,22337.1631,0,130,9,43,0,2,1376.910777
RC95515,4792.830533,20647,63,17,10,0,7,185.061408
TI61458,27789.69235,33806,89,32,59,0,2,395.729716
RB49468,7511.660568,0,70,9,96,0,2,340.201412
SJ18454,18767.55161,0,111,13,55,0,2,900.14526
KC19420,4987.643113,19589,127,26,44,0,1,1027.010512
TP12241,5123.196814,22338,67,9,37,1,9,307.801098
BD89564,5989.773931,66839,154,33,24,0,1,739.2
SG20925,5185.797582,99428,64,16,25,1,5,48.046869
CJ97736,5828.1822,31364,74,28,47,0,3,461.269135
SK79760,13755.54279,15340,121,12,47,0,2,686.501976
