index,State,Response,Coverage,Education,EmploymentStatus,Gender,Location Code,Marital Status,Policy Type,Policy,Renew Offer Type,Sales Channel,Vehicle Class,Vehicle Size,customer__lifetime__value,income,monthly__premium__auto,months__since__last__claim,months__since__policy__inception,number_of__open__complaints,number_of__policies
1439,California,No,Premium,Bachelor,Employed,M,Rural,Single,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Small,9175.171899,68164,119,27,37,2,6
1440,Washington,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Personal L1,Offer2,Agent,Two-Door Car,Medsize,4979.079933,0,71,17,57,0,5
1441,Washington,No,Basic,Bachelor,Disabled,F,Suburban,Married,Personal Auto,Personal L3,Offer4,Branch,Four-Door Car,Large,2585.937023,21603,68,11,46,2,1
1442,Oregon,No,Basic,College,Unemployed,F,Rural,Married,Special Auto,Special L2,Offer1,Branch,Four-Door Car,Medsize,9449.745947,0,63,11,20,0,2
1443,California,No,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Branch,Two-Door Car,Medsize,4568.819387,0,70,5,33,1,7
1444,Oregon,Yes,Basic,Master,Employed,F,Rural,Single,Personal Auto,Personal L3,Offer2,Web,Four-Door Car,Medsize,2574.020376,34990,65,23,73,0,1
1445,Arizona,No,Basic,Master,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer1,Call Center,Sports Car,Medsize,8789.88406,22849,109,5,75,0,4
1446,Arizona,No,Basic,Doctor,Employed,M,Urban,Married,Personal Auto,Personal L3,Offer3,Agent,Four-Door Car,Medsize,2507.407815,32893,63,13,14,0,1
1447,Oregon,No,Basic,College,Unemployed,M,Suburban,Single,Corporate Auto,Corporate L3,Offer2,Branch,Two-Door Car,Medsize,2522.41457,0,73,24,15,0,1
1448,Nevada,No,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,Personal L2,Offer3,Branch,SUV,Medsize,7542.713967,0,111,7,25,0,3
1449,Oregon,Yes,Extended,High School or Below,Employed,M,Suburban,Single,Corporate Auto,Corporate L2,Offer1,Agent,Four-Door Car,Medsize,6005.214792,26876,76,17,72,0,8
1451,California,No,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Medsize,2345.084479,0,69,1,56,0,1
1452,California,No,Basic,High School or Below,Disabled,F,Suburban,Married,Personal Auto,Personal L3,Offer1,Call Center,SUV,Medsize,8783.165364,16994,112,25,12,0,8
1453,Oregon,No,Basic,Bachelor,Employed,M,Rural,Single,Personal Auto,Personal L3,Offer2,Agent,Sports Car,Small,4529.965388,64270,117,12,58,0,1
1454,Nevada,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Corporate Auto,Corporate L2,Offer2,Call Center,Four-Door Car,Medsize,6033.222351,0,83,4,3,0,3
1455,Oregon,No,Premium,Doctor,Unemployed,F,Rural,Single,Personal Auto,Personal L2,Offer2,Web,SUV,Medsize,5308.246978,0,145,29,70,0,1
1456,California,Yes,Basic,College,Employed,M,Suburban,Single,Personal Auto,Personal L2,Offer2,Call Center,Four-Door Car,Small,2674.730716,56342,69,12,89,0,1
1457,California,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer4,Call Center,Four-Door Car,Medsize,4929.8075,0,70,25,21,0,6
1459,Oregon,Yes,Basic,High School or Below,Employed,M,Rural,Married,Personal Auto,Personal L2,Offer2,Agent,Two-Door Car,Medsize,2471.528431,95697,61,16,55,0,1
1460,Arizona,Yes,Extended,High School or Below,Employed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Medsize,6005.214792,26876,76,17,72,0,8
1461,Washington,No,Premium,College,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Large,14082.63918,0,102,17,91,0,2
1463,California,No,Extended,College,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer3,Agent,Four-Door Car,Medsize,6631.665538,32918,84,33,69,0,3
1464,Oregon,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer2,Web,Four-Door Car,Medsize,7432.299921,0,71,4,76,0,2
1465,Nevada,No,Basic,High School or Below,Employed,M,Rural,Married,Personal Auto,Personal L1,Offer4,Agent,Two-Door Car,Large,2928.115104,63127,74,35,17,1,1
1468,Washington,Yes,Basic,Bachelor,Employed,F,Urban,Married,Personal Auto,Personal L1,Offer2,Branch,SUV,Medsize,8609.158215,79090,107,2,74,0,3
1469,Oregon,No,Extended,College,Employed,F,Suburban,Divorced,Personal Auto,Personal L3,Offer1,Agent,Sports Car,Medsize,10213.56338,39719,131,1,57,0,3
1470,Nevada,No,Extended,College,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Web,Four-Door Car,Small,10049.28585,58194,84,26,23,0,2
1471,Oregon,No,Basic,College,Employed,M,Rural,Married,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Medsize,5746.148291,61990,72,21,47,0,9
1472,Oregon,Yes,Extended,College,Employed,F,Rural,Married,Personal Auto,Personal L2,Offer2,Call Center,Two-Door Car,Large,3746.751625,41479,94,14,38,1,1
1473,Oregon,No,Extended,Bachelor,Employed,F,Rural,Divorced,Personal Auto,Personal L3,Offer1,Branch,Four-Door Car,Medsize,7486.068405,97899,95,29,73,3,7
1474,Nevada,No,Basic,College,Employed,F,Urban,Married,Personal Auto,Personal L3,Offer3,Call Center,SUV,Small,9120.065162,63878,113,32,47,0,9
1475,Oregon,No,Basic,High School or Below,Employed,F,Rural,Married,Special Auto,Special L2,Offer2,Call Center,Two-Door Car,Medsize,5678.046711,68671,70,30,49,0,6
1476,Nevada,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,SUV,Medsize,7517.083811,0,102,19,13,0,3
1477,Oregon,No,Basic,College,Employed,M,Urban,Married,Personal Auto,Personal L2,Offer1,Call Center,Sports Car,Medsize,4530.530663,34640,117,23,54,2,1
1478,California,No,Basic,Bachelor,Retired,F,Suburban,Married,Corporate Auto,Corporate L3,Offer4,Web,Four-Door Car,Small,2691.380574,21959,71,0,69,0,1
1479,Arizona,No,Basic,Bachelor,Employed,F,Suburban,Divorced,Corporate Auto,Corporate L1,Offer1,Branch,Two-Door Car,Small,8068.623946,51584,69,11,98,2,2
1480,Oregon,No,Basic,Bachelor,Employed,F,Urban,Divorced,Corporate Auto,Corporate L3,Offer2,Call Center,Four-Door Car,Medsize,2478.576723,65744,62,9,77,0,1
1481,Arizona,No,Basic,Bachelor,Disabled,F,Suburban,Married,Personal Auto,Personal L3,Offer3,Call Center,SUV,Small,9112.041503,25198,118,26,36,0,4
1482,Arizona,No,Basic,Master,Employed,F,Urban,Divorced,Personal Auto,Personal L2,Offer3,Branch,Two-Door Car,Medsize,2772.441318,79663,69,14,39,0,1
1483,Arizona,No,Basic,Bachelor,Employed,F,Rural,Single,Personal Auto,Personal L2,Offer2,Call Center,Sports Car,Small,4305.793209,31071,111,0,57,2,1
1484,California,No,Extended,Bachelor,Employed,F,Urban,Divorced,Corporate Auto,Corporate L3,Offer1,Web,SUV,Medsize,5103.35758,39452,131,6,54,0,1
1485,Oregon,No,Basic,Bachelor,Employed,F,Urban,Divorced,Personal Auto,Personal L1,Offer3,Agent,Four-Door Car,Medsize,4784.960513,25813,61,16,97,0,8
1486,Oregon,No,Extended,Doctor,Employed,F,Suburban,Married,Personal Auto,Personal L2,Offer1,Branch,SUV,Medsize,10541.10977,59965,131,7,54,0,7
1487,Washington,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer3,Branch,Two-Door Car,Medsize,2179.425137,0,63,23,90,0,1
1488,Nevada,No,Extended,College,Employed,F,Rural,Married,Personal Auto,Personal L1,Offer1,Branch,Four-Door Car,Small,7610.840476,98701,94,22,66,0,3
1489,Arizona,No,Extended,College,Unemployed,F,Suburban,Single,Personal Auto,Personal L2,Offer2,Branch,Sports Car,Medsize,8510.525936,0,121,5,94,0,8
1490,Oregon,No,Basic,College,Employed,F,Rural,Single,Personal Auto,Personal L3,Offer2,Branch,Four-Door Car,Medsize,16172.94049,64388,68,9,46,0,2
1491,Oregon,No,Basic,College,Employed,M,Rural,Divorced,Personal Auto,Personal L3,Offer4,Call Center,Four-Door Car,Medsize,2425.494812,66841,62,4,73,0,1
1492,Oregon,No,Basic,High School or Below,Employed,F,Urban,Divorced,Corporate Auto,Corporate L1,Offer2,Agent,Four-Door Car,Medsize,2899.317224,33738,74,6,50,1,1
1493,California,No,Extended,Bachelor,Employed,M,Suburban,Married,Corporate Auto,Corporate L2,Offer4,Call Center,Two-Door Car,Small,3633.05403,43334,95,3,72,2,1
1494,California,No,Extended,College,Unemployed,F,Urban,Married,Personal Auto,Personal L3,Offer3,Web,Four-Door Car,Medsize,3457.154249,0,91,13,89,0,1
1495,Nevada,No,Extended,College,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer2,Web,Four-Door Car,Medsize,3394.720301,83431,84,13,33,0,1
1496,Washington,No,Extended,College,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Branch,Two-Door Car,Medsize,3781.4548,57647,94,3,99,0,1
1497,Oregon,No,Extended,Bachelor,Unemployed,M,Suburban,Divorced,Personal Auto,Personal L1,Offer1,Call Center,Four-Door Car,Large,5841.528134,0,79,17,4,0,3
1498,California,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer2,Agent,Four-Door Car,Medsize,5479.854218,38210,69,25,41,0,3
1500,Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Corporate Auto,Corporate L3,Offer4,Call Center,Four-Door Car,Medsize,8319.123035,49734,69,3,41,0,2
1501,Washington,Yes,Basic,Master,Employed,F,Suburban,Married,Personal Auto,Personal L1,Offer2,Agent,Four-Door Car,Small,5181.620895,97131,64,5,80,0,6
1502,Oregon,No,Basic,College,Disabled,M,Suburban,Divorced,Corporate Auto,Corporate L3,Offer4,Web,SUV,Medsize,4163.79336,11689,117,7,46,0,1
1503,Arizona,No,Extended,High School or Below,Medical Leave,F,Suburban,Married,Special Auto,Special L3,Offer1,Agent,SUV,Medsize,4853.100287,17120,125,14,95,0,1
1505,Washington,No,Extended,Bachelor,Employed,F,Urban,Married,Personal Auto,Personal L3,Offer2,Web,Four-Door Car,Medsize,3280.457296,63297,82,1,33,0,1
1507,California,No,Basic,High School or Below,Employed,M,Suburban,Divorced,Personal Auto,Personal L3,Offer2,Web,Two-Door Car,Small,2684.581561,98121,67,22,49,0,1
1508,Washington,No,Extended,Bachelor,Employed,M,Urban,Married,Personal Auto,Personal L1,Offer1,Agent,SUV,Medsize,10392.96347,93495,129,8,0,0,9
1509,Oregon,No,Premium,College,Employed,F,Suburban,Married,Corporate Auto,Corporate L2,Offer1,Branch,Four-Door Car,Small,9036.657561,89382,112,2,61,0,3
1510,Arizona,No,Extended,High School or Below,Employed,F,Rural,Married,Corporate Auto,Corporate L3,Offer4,Branch,SUV,Medsize,5352.18703,97742,132,6,52,0,1
1511,Arizona,No,Premium,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer1,Branch,Four-Door Car,Medsize,11880.96623,0,114,29,96,0,2
1512,Oregon,No,Basic,College,Unemployed,M,Suburban,Divorced,Corporate Auto,Corporate L1,Offer1,Branch,Four-Door Car,Medsize,2557.094323,0,73,30,8,0,1
1513,California,No,Extended,College,Employed,F,Urban,Married,Personal Auto,Personal L3,Offer1,Branch,Four-Door Car,Medsize,7914.82311,77153,99,3,27,1,5
1514,California,No,Extended,Master,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Web,Two-Door Car,Medsize,9840.082616,94590,81,26,31,0,2
1515,Arizona,No,Premium,High School or Below,Employed,F,Suburban,Married,Personal Auto,Personal L1,Offer4,Agent,Four-Door Car,Small,4351.550504,74163,108,14,63,0,1
1517,Oregon,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Personal L2,Offer4,Web,Two-Door Car,Medsize,4825.258632,0,71,8,30,0,8
1518,Arizona,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Corporate Auto,Corporate L3,Offer2,Call Center,Two-Door Car,Medsize,6947.838781,0,99,12,77,0,4
1519,California,No,Extended,College,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer2,Call Center,Four-Door Car,Small,3344.809462,33243,85,13,19,0,1
1520,Arizona,No,Basic,Master,Unemployed,M,Urban,Married,Personal Auto,Personal L3,Offer2,Branch,Four-Door Car,Medsize,2357.503128,0,64,25,80,0,1
1522,Nevada,Yes,Basic,High School or Below,Retired,M,Suburban,Divorced,Personal Auto,Personal L2,Offer1,Branch,SUV,Medsize,10408.96865,20228,101,3,43,1,2
1523,Arizona,No,Basic,High School or Below,Employed,F,Urban,Married,Personal Auto,Personal L2,Offer2,Web,SUV,Medsize,4048.16129,92801,100,24,23,0,1
1524,Oregon,No,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,Personal L2,Offer2,Branch,Four-Door Car,Medsize,6852.001946,0,69,7,45,1,2
1525,California,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer4,Branch,Four-Door Car,Small,2903.024168,36845,74,14,33,0,1
1527,California,No,Extended,Master,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer2,Call Center,Four-Door Car,Small,3242.043926,72330,81,2,50,2,1
1528,Nevada,No,Basic,Bachelor,Medical Leave,F,Suburban,Married,Personal Auto,Personal L3,Offer1,Branch,Four-Door Car,Small,2467.620791,19352,65,16,0,0,1
1529,Arizona,No,Basic,College,Unemployed,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Medsize,5674.383424,0,62,13,6,5,2
1530,Arizona,No,Extended,College,Disabled,F,Suburban,Single,Personal Auto,Personal L3,Offer1,Branch,Four-Door Car,Medsize,8634.355958,25073,79,3,84,0,2
1531,Oregon,No,Basic,High School or Below,Disabled,F,Suburban,Divorced,Personal Auto,Personal L2,Offer4,Web,Four-Door Car,Large,2780.196856,20261,72,4,55,0,1
1533,Arizona,Yes,Basic,High School or Below,Employed,F,Rural,Single,Corporate Auto,Corporate L1,Offer2,Agent,Four-Door Car,Medsize,2514.59196,43860,65,15,58,0,1
1535,California,No,Basic,Doctor,Employed,F,Rural,Married,Corporate Auto,Corporate L3,Offer1,Agent,Four-Door Car,Medsize,7706.036295,48019,64,15,94,0,2
1536,California,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Medsize,2790.458197,28786,71,30,69,1,1
1537,California,Yes,Basic,High School or Below,Retired,F,Suburban,Divorced,Corporate Auto,Corporate L3,Offer1,Branch,Four-Door Car,Medsize,2397.036098,22283,65,16,93,0,1
1538,Arizona,No,Basic,Bachelor,Employed,F,Rural,Divorced,Personal Auto,Personal L1,Offer1,Call Center,SUV,Small,8834.322784,34133,111,0,72,0,7
1539,Arizona,Yes,Premium,Master,Employed,M,Rural,Married,Personal Auto,Personal L3,Offer1,Agent,Two-Door Car,Medsize,14435.67365,60880,119,25,89,0,2
1542,California,No,Basic,College,Employed,F,Suburban,Married,Personal Auto,Personal L1,Offer1,Branch,Four-Door Car,Small,4834.797545,32017,62,9,10,2,7
1543,Oregon,No,Extended,High School or Below,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer1,Agent,SUV,Medsize,10899.30177,58518,136,17,9,0,3
1544,California,No,Basic,Bachelor,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Medsize,5284.041003,61542,67,33,83,0,6
1545,Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Corporate Auto,Corporate L2,Offer1,Branch,Two-Door Car,Large,2891.726781,56761,73,31,80,1,1
1546,California,No,Basic,College,Disabled,M,Suburban,Married,Personal Auto,Personal L2,Offer2,Branch,Four-Door Car,Large,4900.545112,22976,66,19,33,0,4
1548,Washington,No,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,Personal L2,Offer1,Branch,Four-Door Car,Small,8415.644389,0,62,8,98,0,2
1549,Arizona,No,Basic,Bachelor,Unemployed,M,Urban,Divorced,Personal Auto,Personal L3,Offer1,Branch,Four-Door Car,Medsize,6630.836094,0,66,20,53,0,2
1550,Arizona,Yes,Basic,Bachelor,Employed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Call Center,SUV,Medsize,12036.62051,44428,104,17,61,0,2
1551,Nevada,No,Premium,Bachelor,Employed,M,Suburban,Single,Personal Auto,Personal L3,Offer3,Agent,Four-Door Car,Medsize,3895.034766,52361,102,13,78,0,1
1553,California,No,Extended,High School or Below,Employed,M,Rural,Married,Personal Auto,Personal L3,Offer3,Agent,Two-Door Car,Medsize,3419.108695,40272,86,8,64,0,1
1554,Arizona,No,Basic,Master,Employed,M,Urban,Married,Personal Auto,Personal L3,Offer1,Branch,Four-Door Car,Medsize,7302.775082,30492,61,32,68,0,2
1556,Arizona,No,Basic,College,Employed,M,Suburban,Married,Corporate Auto,Corporate L2,Offer4,Agent,Four-Door Car,Small,2486.064902,36635,63,20,28,0,1
1557,Arizona,No,Basic,Bachelor,Employed,F,Urban,Married,Corporate Auto,Corporate L2,Offer2,Branch,Two-Door Car,Small,5224.328801,83389,65,5,57,0,3
1559,California,No,Extended,Bachelor,Employed,M,Suburban,Divorced,Corporate Auto,Corporate L3,Offer2,Web,Four-Door Car,Medsize,3167.888725,61638,82,3,55,2,1
1560,Arizona,Yes,Basic,College,Retired,F,Suburban,Divorced,Personal Auto,Personal L2,Offer1,Agent,SUV,Small,7805.31287,21073,106,25,54,1,3
1561,California,Yes,Basic,College,Unemployed,F,Suburban,Single,Personal Auto,Personal L2,Offer1,Agent,Four-Door Car,Large,13197.92893,0,68,19,2,3,2
1562,Oregon,No,Extended,Bachelor,Unemployed,M,Rural,Married,Personal Auto,Personal L3,Offer1,Branch,Two-Door Car,Large,6234.305918,0,82,26,12,0,9
1563,Arizona,No,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Branch,Four-Door Car,Large,7539.600588,0,74,23,64,0,2
1564,Nevada,No,Premium,High School or Below,Employed,M,Suburban,Married,Corporate Auto,Corporate L2,Offer2,Call Center,Four-Door Car,Small,8157.933629,86811,102,19,22,0,5
1565,Oregon,No,Extended,High School or Below,Employed,M,Urban,Married,Personal Auto,Personal L3,Offer2,Web,Two-Door Car,Medsize,13156.74895,72517,82,33,27,0,2
1566,Washington,No,Extended,College,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer3,Branch,Four-Door Car,Small,5107.624201,0,77,2,71,0,9
1567,Oregon,No,Basic,Doctor,Employed,F,Urban,Married,Personal Auto,Personal L2,Offer2,Call Center,Four-Door Car,Medsize,5339.388388,84424,66,18,71,0,9
1568,California,No,Basic,College,Employed,F,Suburban,Married,Personal Auto,Personal L1,Offer3,Branch,SUV,Medsize,8649.175023,43383,109,7,60,0,8
1569,Oregon,Yes,Extended,High School or Below,Employed,M,Rural,Divorced,Special Auto,Special L2,Offer1,Agent,Four-Door Car,Medsize,7519.133631,96306,95,12,17,1,6
1570,California,No,Basic,College,Unemployed,F,Suburban,Single,Corporate Auto,Corporate L3,Offer1,Agent,Two-Door Car,Large,4293.009593,0,61,18,15,0,8
1571,Washington,No,Basic,Master,Employed,F,Urban,Married,Personal Auto,Personal L2,Offer4,Branch,SUV,Small,4529.062612,65134,112,28,48,0,1
1572,Arizona,No,Basic,College,Employed,F,Urban,Married,Personal Auto,Personal L2,Offer2,Call Center,SUV,Medsize,13160.3389,94125,109,33,21,0,2
1573,Oregon,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Call Center,SUV,Medsize,13235.54436,39778,112,23,49,0,2
1574,Oregon,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,SUV,Small,3744.577726,0,101,3,32,0,1
1576,Nevada,No,Basic,Bachelor,Employed,M,Suburban,Divorced,Corporate Auto,Corporate L1,Offer1,Call Center,Two-Door Car,Medsize,2644.684556,54000,66,15,45,0,1
1577,Oregon,Yes,Extended,Doctor,Employed,M,Suburban,Married,Personal Auto,Personal L1,Offer2,Branch,SUV,Medsize,5073.282126,57709,125,10,26,0,1
1578,Arizona,No,Basic,High School or Below,Employed,F,Urban,Divorced,Corporate Auto,Corporate L2,Offer2,Agent,SUV,Small,4272.585137,81132,107,19,52,0,1
1579,California,No,Extended,College,Employed,M,Suburban,Married,Corporate Auto,Corporate L1,Offer1,Web,Four-Door Car,Small,11003.01645,22926,93,1,99,0,2
1580,Arizona,No,Basic,College,Unemployed,F,Suburban,Single,Personal Auto,Personal L1,Offer1,Call Center,Four-Door Car,Medsize,14181.64282,0,72,15,91,2,2
1581,Washington,No,Premium,Doctor,Employed,F,Urban,Married,Personal Auto,Personal L3,Offer2,Web,Four-Door Car,Medsize,8875.965501,69205,110,20,56,0,6
1582,Oregon,No,Extended,Bachelor,Employed,M,Urban,Married,Personal Auto,Personal L3,Offer1,Agent,SUV,Medsize,11077.68591,78011,138,14,42,0,3
1583,Oregon,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer2,Agent,Four-Door Car,Medsize,2435.689035,32931,62,16,45,0,1
1584,California,No,Premium,Bachelor,Employed,F,Rural,Divorced,Personal Auto,Personal L2,Offer2,Agent,Four-Door Car,Medsize,8743.852187,99517,109,2,93,0,3
1585,Arizona,No,Basic,Bachelor,Employed,M,Urban,Single,Personal Auto,Personal L3,Offer1,Agent,Two-Door Car,Medsize,2409.760898,59665,62,33,3,1,1
1586,Washington,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer2,Branch,Four-Door Car,Medsize,2499.498786,28082,64,9,63,0,1
1587,Arizona,No,Basic,High School or Below,Employed,F,Urban,Single,Corporate Auto,Corporate L2,Offer1,Call Center,SUV,Medsize,8528.288669,91099,107,14,37,0,3
1588,Oregon,No,Extended,College,Employed,M,Suburban,Divorced,Personal Auto,Personal L1,Offer2,Branch,Four-Door Car,Medsize,3591.996064,28013,91,16,13,0,1
1589,Nevada,No,Basic,High School or Below,Employed,F,Urban,Married,Personal Auto,Personal L2,Offer2,Branch,Two-Door Car,Medsize,8539.826923,55478,71,7,1,0,2
1590,Nevada,No,Extended,College,Employed,F,Suburban,Married,Corporate Auto,Corporate L2,Offer3,Branch,Four-Door Car,Medsize,6990.917824,22568,88,31,63,0,6
1591,California,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,SUV,Medsize,3979.388247,0,112,11,3,0,1
1593,Oregon,No,Basic,College,Unemployed,F,Suburban,Single,Personal Auto,Personal L1,Offer3,Branch,Two-Door Car,Small,2321.052528,0,66,0,10,0,1
1594,Oregon,No,Basic,College,Unemployed,M,Suburban,Married,Personal Auto,Personal L1,Offer2,Web,Four-Door Car,Medsize,5087.020469,0,72,12,70,0,3
1595,Oregon,Yes,Premium,College,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Branch,Four-Door Car,Medsize,4362.931238,58842,110,6,74,0,1
1596,Oregon,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Personal L1,Offer1,Call Center,Four-Door Car,Small,7457.468107,0,69,15,73,0,2
1597,Oregon,No,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,Personal L2,Offer2,Agent,SUV,Medsize,7027.759594,0,102,11,90,0,5
1598,Oregon,No,Basic,Bachelor,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer4,Web,Four-Door Car,Large,2831.683664,70037,70,6,61,0,1
1599,Nevada,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Branch,Two-Door Car,Small,4217.857932,0,62,19,75,0,3
1601,California,No,Premium,Bachelor,Retired,M,Suburban,Divorced,Personal Auto,Personal L3,Offer4,Call Center,Four-Door Car,Medsize,8365.677648,26630,118,19,27,0,8
1602,Oregon,No,Basic,High School or Below,Employed,F,Rural,Married,Personal Auto,Personal L2,Offer4,Branch,Four-Door Car,Medsize,2726.392968,48039,68,4,37,0,1
1603,California,No,Extended,High School or Below,Unemployed,M,Suburban,Married,Personal Auto,Personal L2,Offer4,Web,Four-Door Car,Small,3420.452207,0,92,2,38,0,1
1604,Arizona,No,Extended,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Personal L1,Offer2,Agent,SUV,Medsize,4839.107156,0,137,18,50,0,1
1605,Arizona,No,Basic,Bachelor,Unemployed,F,Rural,Married,Corporate Auto,Corporate L2,Offer1,Agent,Sports Car,Medsize,4358.553534,0,118,18,91,0,1
1606,Washington,No,Extended,Bachelor,Employed,F,Rural,Married,Personal Auto,Personal L2,Offer1,Branch,Four-Door Car,Medsize,7255.953792,88891,89,17,56,0,3
1608,Arizona,No,Basic,Master,Unemployed,F,Suburban,Married,Personal Auto,Personal L2,Offer3,Web,SUV,Medsize,8396.327608,0,115,18,80,1,3
1609,Arizona,No,Extended,High School or Below,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Branch,Sports Car,Medsize,5170.976384,53603,132,30,1,1,1
1610,Nevada,No,Extended,Doctor,Unemployed,M,Rural,Single,Corporate Auto,Corporate L2,Offer1,Web,Four-Door Car,Medsize,5585.30807,0,80,14,17,0,9
1611,California,No,Basic,Doctor,Employed,F,Rural,Divorced,Personal Auto,Personal L2,Offer2,Call Center,SUV,Medsize,8639.49502,92374,107,16,9,1,3
1612,California,No,Basic,High School or Below,Employed,M,Suburban,Married,Corporate Auto,Corporate L3,Offer1,Branch,Four-Door Car,Medsize,5281.833471,39658,66,32,53,0,7
1613,Oregon,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer1,Call Center,Sports Car,Medsize,8385.252347,0,116,0,35,0,7
1614,Arizona,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Personal L2,Offer1,Agent,Two-Door Car,Medsize,4633.101259,0,70,0,86,0,3
1615,California,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,Personal L1,Offer1,Web,Four-Door Car,Medsize,2480.392738,0,65,1,60,0,1
1616,Arizona,No,Extended,High School or Below,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer4,Agent,Two-Door Car,Medsize,3618.686938,50755,91,21,25,0,1
1617,Washington,No,Basic,Bachelor,Employed,F,Urban,Single,Corporate Auto,Corporate L2,Offer1,Branch,Two-Door Car,Medsize,2480.045899,93383,62,31,64,0,1
1618,Oregon,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Corporate Auto,Corporate L3,Offer2,Branch,Four-Door Car,Medsize,4893.291507,0,73,11,56,0,5
1619,California,No,Extended,High School or Below,Employed,M,Suburban,Single,Personal Auto,Personal L2,Offer2,Agent,SUV,Large,10737.68425,50607,137,15,0,0,9
1620,Washington,Yes,Basic,College,Employed,M,Suburban,Divorced,Special Auto,Special L2,Offer1,Agent,Two-Door Car,Medsize,2616.613903,72302,66,6,27,0,1
1621,Nevada,No,Premium,Bachelor,Unemployed,F,Suburban,Single,Corporate Auto,Corporate L1,Offer1,Web,SUV,Medsize,15725.25053,0,149,16,70,0,2
1622,Nevada,No,Premium,College,Unemployed,M,Suburban,Single,Corporate Auto,Corporate L3,Offer1,Agent,SUV,Medsize,9553.415528,0,146,20,14,0,4
1623,Oregon,Yes,Basic,College,Employed,M,Urban,Single,Personal Auto,Personal L3,Offer2,Agent,Two-Door Car,Medsize,7507.455372,60920,64,10,61,0,2
1624,California,No,Premium,Bachelor,Unemployed,F,Suburban,Single,Special Auto,Special L2,Offer1,Branch,Two-Door Car,Medsize,7324.928202,0,105,4,98,0,6
