,Customer,State,Response,Coverage,Education,EmploymentStatus,Gender,Location Code,Marital Status,Policy Type,Renew Offer Type,Sales Channel,Vehicle Class,Vehicle Size,customer_id,Year,Effective To Date
2717,ZA,Arizona,No,Basic,Bachelor,Employed,F,Suburban,Divorced,Personal Auto,Offer2,Agent,Two-Door Car,Medsize,34848,2011,2011-01-26
2718,FA,California,No,Basic,College,Unemployed,M,Suburban,Single,Special Auto,Offer3,Branch,Luxury Car,Small,57012,2011,2011-02-17
2719,GU,California,Yes,Premium,Bachelor,Employed,F,Rural,Divorced,Corporate Auto,Offer2,Agent,Four-Door Car,Medsize,82757,2011,2011-02-28
2720,KW,Oregon,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Offer2,Branch,SUV,Medsize,12214,2011,2011-01-05
2721,EG,Oregon,No,Basic,College,Unemployed,F,Suburban,Divorced,Personal Auto,Offer1,Branch,SUV,Small,97649,2011,2011-01-31
2722,YB,Nevada,No,Extended,College,Unemployed,M,Suburban,Married,Corporate Auto,Offer3,Branch,Two-Door Car,Small,42706,2011,2011-01-23
2723,WV,Washington,No,Basic,College,Unemployed,F,Urban,Married,Personal Auto,Offer3,Call Center,SUV,Medsize,74449,2011,2011-02-12
2724,AZ,Oregon,No,Basic,High School or Below,Employed,M,Urban,Married,Personal Auto,Offer1,Web,SUV,Medsize,77669,2011,2011-02-01
2725,FM,Oregon,No,Basic,Bachelor,Employed,M,Urban,Married,Corporate Auto,Offer3,Agent,Two-Door Car,Large,25704,2011,2011-02-26
2726,UR,California,No,Basic,Doctor,Employed,M,Urban,Divorced,Personal Auto,Offer1,Agent,Four-Door Car,Small,34922,2011,2011-02-02
2727,RA,Oregon,No,Basic,High School or Below,Employed,M,Urban,Married,Corporate Auto,Offer3,Agent,Four-Door Car,Medsize,17555,2011,2011-02-07
2728,AW,California,No,Basic,College,Employed,M,Rural,Divorced,Personal Auto,Offer3,Web,Four-Door Car,Medsize,71157,2011,2011-01-16
2729,IN,California,No,Basic,Bachelor,Employed,F,Suburban,Married,Personal Auto,Offer4,Agent,Four-Door Car,Medsize,91592,2011,2011-02-28
2730,WX,Oregon,No,Basic,College,Employed,F,Suburban,Married,Personal Auto,Offer2,Web,Four-Door Car,Medsize,37953,2011,2011-02-22
2731,NL,California,No,Basic,College,Employed,F,Rural,Married,Personal Auto,Offer4,Branch,Four-Door Car,Medsize,85206,2011,2011-02-21
2732,PR,California,No,Basic,College,Employed,M,Rural,Divorced,Personal Auto,Offer2,Web,Luxury SUV,Medsize,23514,2011,2011-01-23
2733,XZ,California,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Corporate Auto,Offer4,Call Center,SUV,Small,23352,2011,2011-02-13
2734,MX,California,No,Basic,High School or Below,Employed,M,Suburban,Single,Personal Auto,Offer3,Web,Four-Door Car,Medsize,80067,2011,2011-01-08
2735,HR,Nevada,No,Extended,High School or Below,Employed,M,Rural,Married,Personal Auto,Offer2,Branch,SUV,Medsize,10835,2011,2011-02-11
2736,FR,Washington,No,Extended,Bachelor,Medical Leave,M,Suburban,Married,Personal Auto,Offer2,Branch,Two-Door Car,Medsize,15942,2011,2011-01-06
2737,GX,Arizona,No,Extended,College,Employed,M,Urban,Married,Personal Auto,Offer2,Agent,Four-Door Car,Medsize,22886,2011,2011-01-25
2738,HQ,Washington,No,Basic,College,Unemployed,F,Rural,Single,Personal Auto,Offer2,Agent,Two-Door Car,Medsize,70429,2011,2011-02-20
2739,YT,Oregon,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Offer4,Branch,Four-Door Car,Medsize,84266,2011,2011-02-17
2740,GH,Arizona,No,Basic,High School or Below,Employed,F,Rural,Single,Corporate Auto,Offer3,Branch,Four-Door Car,Medsize,48715,2011,2011-01-31
2741,BN,Oregon,No,Basic,College,Employed,M,Rural,Married,Personal Auto,Offer1,Web,Four-Door Car,Large,46866,2011,2011-02-25
2742,CG,Oregon,No,Extended,College,Medical Leave,M,Suburban,Single,Corporate Auto,Offer4,Agent,Two-Door Car,Medsize,94611,2011,2011-01-07
2743,GK,California,No,Basic,College,Employed,M,Rural,Married,Personal Auto,Offer3,Web,Four-Door Car,Large,94889,2011,2011-02-12
2744,QN,Nevada,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Corporate Auto,Offer1,Call Center,Four-Door Car,Small,62538,2011,2011-02-24
2745,UQ,Nevada,No,Basic,Master,Employed,M,Rural,Married,Personal Auto,Offer4,Branch,Four-Door Car,Small,13133,2011,2011-02-11
2746,DI,Arizona,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Offer4,Agent,Four-Door Car,Medsize,65961,2011,2011-01-09
2747,WQ,California,No,Basic,College,Medical Leave,M,Suburban,Divorced,Corporate Auto,Offer3,Branch,SUV,Medsize,85760,2011,2011-02-05
2748,No,Arizona,No,Basic,Bachelor,Employed,M,Suburban,Single,Personal Auto,Offer2,Call Center,Two-Door Car,Small,35621,2011,2011-01-19
2749,IA,California,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Special Auto,Offer3,Branch,Two-Door Car,Medsize,11644,2011,2011-02-21
2750,TV,Arizona,No,Basic,College,Employed,F,Urban,Married,Corporate Auto,Offer3,Agent,Two-Door Car,Medsize,53243,2011,2011-01-08
2751,WV,Arizona,No,Basic,College,Employed,F,Rural,Married,Corporate Auto,Offer3,Agent,Four-Door Car,Medsize,53081,2011,2011-02-14
2752,LL,California,No,Extended,Master,Employed,F,Rural,Married,Personal Auto,Offer1,Call Center,Four-Door Car,Medsize,57541,2011,2011-01-14
2753,RP,Oregon,No,Basic,Master,Employed,F,Urban,Married,Personal Auto,Offer4,Agent,SUV,Large,27249,2011,2011-01-11
2754,OT,Washington,No,Extended,College,Employed,M,Rural,Divorced,Personal Auto,Offer1,Agent,Four-Door Car,Medsize,85112,2011,2011-02-24
2755,GV,California,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Offer4,Branch,Two-Door Car,Medsize,47847,2011,2011-01-02
2756,BB,California,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Offer1,Agent,SUV,Medsize,48165,2011,2011-01-03
2757,HH,Oregon,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,Offer1,Web,Four-Door Car,Small,80006,2011,2011-02-15
2758,TH,California,No,Extended,College,Employed,M,Urban,Married,Personal Auto,Offer1,Agent,Two-Door Car,Medsize,70115,2011,2011-01-20
2759,WE,Oregon,No,Extended,Bachelor,Employed,F,Urban,Married,Corporate Auto,Offer3,Web,Sports Car,Medsize,64781,2011,2011-01-05
2760,KN,Oregon,No,Basic,Master,Employed,M,Rural,Single,Special Auto,Offer3,Agent,Luxury SUV,Small,27565,2011,2011-01-23
2761,LE,Oregon,No,Basic,Bachelor,Employed,M,Urban,Single,Personal Auto,Offer1,Call Center,Four-Door Car,Medsize,85123,2011,2011-01-02
2762,QF,Oregon,No,Basic,Doctor,Employed,F,Urban,Married,Personal Auto,Offer4,Agent,Four-Door Car,Medsize,76244,2011,2011-01-02
2763,PU,Arizona,No,Basic,Bachelor,Employed,F,Suburban,Married,Personal Auto,Offer2,Agent,SUV,Medsize,73561,2011,2011-02-14
2764,HM,Oregon,Yes,Basic,Bachelor,Retired,M,Suburban,Married,Corporate Auto,Offer1,Agent,SUV,Medsize,38744,2011,2011-02-24
2765,ST,Oregon,No,Basic,College,Unemployed,M,Suburban,Married,Personal Auto,Offer3,Call Center,Four-Door Car,Medsize,59524,2011,2011-01-13
2766,EZ,California,No,Extended,Master,Employed,M,Urban,Single,Personal Auto,Offer3,Agent,Four-Door Car,Medsize,77297,2011,2011-01-27
2767,DR,Arizona,No,Basic,Bachelor,Employed,M,Rural,Married,Personal Auto,Offer2,Agent,Four-Door Car,Medsize,84843,2011,2011-01-14
2768,MV,California,No,Basic,College,Employed,F,Rural,Single,Personal Auto,Offer1,Branch,Four-Door Car,Medsize,54498,2011,2011-02-13
2769,EM,Washington,No,Basic,College,Employed,F,Suburban,Married,Personal Auto,Offer1,Agent,Four-Door Car,Small,85557,2011,2011-02-16
2770,FY,California,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Offer1,Agent,Luxury SUV,Medsize,73682,2011,2011-02-21
2771,XT,California,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Offer1,Agent,Four-Door Car,Medsize,54610,2011,2011-01-14
2772,CE,Nevada,No,Extended,College,Employed,F,Urban,Married,Personal Auto,Offer1,Call Center,Two-Door Car,Medsize,16324,2011,2011-01-24
2773,KX,Oregon,No,Extended,High School or Below,Employed,M,Suburban,Married,Personal Auto,Offer2,Agent,SUV,Medsize,75698,2011,2011-01-08
2774,UV,California,No,Basic,Bachelor,Unemployed,M,Suburban,Divorced,Personal Auto,Offer3,Call Center,SUV,Medsize,82770,2011,2011-01-11
2775,MX,Oregon,No,Extended,College,Unemployed,F,Suburban,Single,Personal Auto,Offer1,Agent,SUV,Medsize,95450,2011,2011-02-26
2776,XF,California,No,Basic,College,Employed,M,Urban,Divorced,Personal Auto,Offer1,Agent,Two-Door Car,Large,96605,2011,2011-01-25
2777,WQ,Oregon,No,Basic,Bachelor,Employed,F,Urban,Married,Personal Auto,Offer1,Agent,Four-Door Car,Medsize,75856,2011,2011-01-12
2778,JG,California,No,Premium,College,Employed,F,Urban,Married,Personal Auto,Offer2,Call Center,Four-Door Car,Medsize,35886,2011,2011-01-21
2779,XY,California,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Offer2,Agent,Two-Door Car,Medsize,66810,2011,2011-02-09
2780,ON,California,No,Basic,College,Unemployed,F,Suburban,Married,Special Auto,Offer1,Agent,Four-Door Car,Small,50913,2011,2011-01-14
2781,LS,Arizona,No,Basic,High School or Below,Unemployed,M,Suburban,Married,Personal Auto,Offer2,Call Center,Four-Door Car,Small,59408,2011,2011-01-20
2782,XQ,Nevada,No,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,Offer1,Agent,Four-Door Car,Small,14689,2011,2011-02-14
2783,QF,California,No,Basic,Bachelor,Employed,M,Suburban,Married,Personal Auto,Offer2,Call Center,Four-Door Car,Medsize,55724,2011,2011-02-20
2784,FD,Arizona,No,Basic,High School or Below,Employed,F,Suburban,Divorced,Special Auto,Offer1,Branch,Two-Door Car,Small,79560,2011,2011-01-09
2785,KM,Arizona,No,Basic,College,Employed,F,Rural,Married,Personal Auto,Offer1,Agent,Two-Door Car,Large,18818,2011,2011-02-21
2786,XA,California,No,Premium,Bachelor,Employed,M,Rural,Divorced,Personal Auto,Offer1,Agent,SUV,Medsize,28126,2011,2011-02-12
2787,LJ,Arizona,No,Basic,Doctor,Employed,F,Urban,Married,Personal Auto,Offer2,Branch,SUV,Medsize,93770,2011,2011-01-29
2788,MK,California,No,Basic,High School or Below,Employed,F,Rural,Married,Personal Auto,Offer2,Agent,Two-Door Car,Medsize,52711,2011,2011-01-11
2789,AZ,Washington,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Offer4,Agent,SUV,Medsize,68184,2011,2011-01-18
2790,NN,Arizona,Yes,Basic,Bachelor,Disabled,M,Suburban,Married,Personal Auto,Offer1,Branch,Sports Car,Large,52789,2011,2011-02-25
2791,XC,California,No,Extended,Bachelor,Medical Leave,M,Suburban,Single,Personal Auto,Offer1,Web,Four-Door Car,Small,68458,2011,2011-01-20
2792,AF,Arizona,No,Premium,College,Unemployed,F,Suburban,Single,Personal Auto,Offer1,Agent,Two-Door Car,Medsize,49027,2011,2011-02-26
2793,PR,California,No,Basic,College,Employed,F,Suburban,Married,Corporate Auto,Offer4,Branch,Sports Car,Medsize,22184,2011,2011-01-13
2794,GM,California,No,Basic,College,Unemployed,F,Suburban,Married,Personal Auto,Offer1,Agent,SUV,Small,98732,2011,2011-01-26
2795,NP,California,No,Basic,College,Unemployed,F,Suburban,Married,Personal Auto,Offer2,Call Center,Two-Door Car,Medsize,66209,2011,2011-02-08
2796,GA,Oregon,No,Basic,Bachelor,Employed,M,Suburban,Married,Personal Auto,Offer3,Agent,Four-Door Car,Medsize,46608,2011,2011-02-21
2797,FZ,Arizona,No,Basic,Bachelor,Unemployed,F,Suburban,Married,Personal Auto,Offer3,Web,Four-Door Car,Medsize,79470,2011,2011-02-24
2798,KR,Oregon,No,Basic,Bachelor,Employed,F,Urban,Married,Personal Auto,Offer4,Branch,Two-Door Car,Medsize,10942,2011,2011-01-21
2799,AW,California,No,Basic,College,Disabled,M,Suburban,Married,Personal Auto,Offer1,Agent,Two-Door Car,Medsize,86033,2011,2011-01-13
2800,LM,Arizona,No,Extended,Doctor,Employed,F,Suburban,Divorced,Personal Auto,Offer2,Call Center,Two-Door Car,Small,79063,2011,2011-02-13
2801,NB,California,No,Extended,High School or Below,Employed,M,Rural,Married,Personal Auto,Offer1,Agent,Two-Door Car,Large,30963,2011,2011-02-19
2802,AO,Oregon,No,Extended,College,Retired,M,Suburban,Divorced,Personal Auto,Offer2,Branch,Four-Door Car,Small,40386,2011,2011-01-25
2803,BN,Arizona,No,Basic,High School or Below,Employed,M,Suburban,Divorced,Corporate Auto,Offer2,Branch,Four-Door Car,Medsize,74259,2011,2011-02-21
2804,XV,California,Yes,Extended,College,Employed,M,Suburban,Single,Corporate Auto,Offer2,Branch,Four-Door Car,Medsize,69290,2011,2011-01-11
2805,RE,California,No,Extended,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Offer2,Agent,Four-Door Car,Medsize,97741,2011,2011-02-12
2806,HN,Arizona,No,Basic,College,Employed,F,Rural,Married,Corporate Auto,Offer3,Web,Four-Door Car,Medsize,69035,2011,2011-02-15
2807,SI,Oregon,No,Extended,College,Employed,M,Suburban,Divorced,Personal Auto,Offer2,Call Center,SUV,Medsize,48717,2011,2011-02-20
2808,PJ,Arizona,No,Extended,College,Employed,F,Suburban,Married,Special Auto,Offer1,Agent,SUV,Medsize,67250,2011,2011-01-19
2809,SH,California,No,Basic,Bachelor,Employed,M,Urban,Married,Personal Auto,Offer1,Branch,Two-Door Car,Large,85263,2011,2011-01-15
2810,WV,California,No,Basic,College,Employed,M,Urban,Married,Personal Auto,Offer2,Web,Four-Door Car,Medsize,37081,2011,2011-01-13
2811,No,California,No,Extended,Bachelor,Employed,F,Suburban,Married,Personal Auto,Offer1,Branch,SUV,Large,61408,2011,2011-02-23
2812,DE,Washington,No,Extended,Master,Unemployed,F,Suburban,Married,Personal Auto,Offer2,Web,Four-Door Car,Medsize,91458,2011,2011-01-10
2813,EP,Arizona,No,Basic,High School or Below,Employed,M,Rural,Married,Personal Auto,Offer2,Call Center,Four-Door Car,Medsize,83939,2011,2011-01-26
2814,IU,California,No,Basic,Bachelor,Disabled,M,Suburban,Married,Personal Auto,Offer2,Web,Two-Door Car,Medsize,17657,2011,2011-01-30
2815,EO,Oregon,No,Premium,Bachelor,Employed,M,Urban,Divorced,Personal Auto,Offer1,Branch,Four-Door Car,Large,95166,2011,2011-01-27
2816,KX,Oregon,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Offer1,Call Center,Four-Door Car,Small,79225,2011,2011-01-26
2817,EZ,California,No,Extended,Bachelor,Unemployed,F,Suburban,Married,Corporate Auto,Offer1,Branch,Four-Door Car,Small,60033,2011,2011-01-12
2818,KK,Oregon,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Offer2,Web,Two-Door Car,Medsize,58047,2011,2011-01-31
2819,JW,Nevada,Yes,Basic,College,Employed,F,Rural,Married,Personal Auto,Offer2,Branch,SUV,Large,62354,2011,2011-02-10
2820,TT,California,No,Basic,Bachelor,Medical Leave,M,Rural,Divorced,Personal Auto,Offer3,Branch,Four-Door Car,Medsize,18939,2011,2011-01-05
2821,IJ,Arizona,Yes,Extended,Bachelor,Employed,F,Suburban,Single,Personal Auto,Offer2,Agent,SUV,Medsize,21010,2011,2011-02-03
2822,PZ,Arizona,No,Basic,Bachelor,Employed,F,Urban,Married,Personal Auto,Offer4,Web,Two-Door Car,Medsize,31902,2011,2011-02-22
2823,WD,California,No,Extended,High School or Below,Unemployed,M,Suburban,Married,Personal Auto,Offer4,Web,Two-Door Car,Large,88540,2011,2011-01-20
2824,IL,Arizona,No,Premium,College,Employed,F,Urban,Single,Corporate Auto,Offer1,Branch,Four-Door Car,Medsize,67915,2011,2011-02-12
2825,VQ,Arizona,Yes,Basic,Bachelor,Retired,M,Suburban,Married,Personal Auto,Offer1,Agent,SUV,Medsize,76590,2011,2011-02-24
2826,FJ,Oregon,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,Offer1,Agent,Four-Door Car,Small,60600,2011,2011-02-26
2827,MP,Oregon,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Corporate Auto,Offer1,Agent,SUV,Large,53132,2011,2011-02-11
2828,XP,Oregon,No,Basic,High School or Below,Employed,F,Suburban,Married,Personal Auto,Offer2,Branch,SUV,Large,96549,2011,2011-02-19
2829,VC,California,No,Basic,Bachelor,Employed,F,Rural,Married,Corporate Auto,Offer3,Agent,Four-Door Car,Medsize,34797,2011,2011-01-27
2830,QV,Nevada,No,Extended,Master,Employed,F,Rural,Married,Personal Auto,Offer3,Call Center,SUV,Medsize,30663,2011,2011-02-28
2831,AK,Oregon,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Special Auto,Offer2,Agent,Sports Car,Medsize,90865,2011,2011-02-22
2832,BX,Arizona,No,Basic,Bachelor,Employed,M,Urban,Married,Personal Auto,Offer4,Web,Four-Door Car,Medsize,51438,2011,2011-02-23
2833,DU,Arizona,No,Basic,High School or Below,Employed,F,Rural,Married,Personal Auto,Offer2,Call Center,Two-Door Car,Medsize,38713,2011,2011-02-04
2834,WQ,California,No,Basic,College,Employed,M,Urban,Divorced,Personal Auto,Offer1,Web,Four-Door Car,Medsize,13284,2011,2011-01-13
2835,JB,Arizona,No,Basic,Master,Employed,M,Suburban,Married,Personal Auto,Offer2,Call Center,Four-Door Car,Medsize,36584,2011,2011-02-04
2836,WQ,California,No,Basic,Master,Unemployed,F,Suburban,Single,Personal Auto,Offer4,Web,SUV,Medsize,23548,2011,2011-02-22
2837,WZ,Oregon,No,Premium,College,Employed,M,Rural,Married,Personal Auto,Offer3,Agent,Four-Door Car,Medsize,98067,2011,2011-01-09
2838,AQ,Arizona,No,Basic,Bachelor,Unemployed,M,Suburban,Married,Personal Auto,Offer4,Call Center,Four-Door Car,Medsize,11656,2011,2011-02-08
2839,KL,Nevada,No,Extended,Doctor,Employed,F,Urban,Married,Personal Auto,Offer1,Agent,SUV,Medsize,14426,2011,2011-01-11
2840,PG,California,No,Basic,High School or Below,Employed,M,Urban,Married,Personal Auto,Offer2,Call Center,Four-Door Car,Medsize,48617,2011,2011-01-03
2841,QB,Oregon,Yes,Extended,Master,Unemployed,F,Suburban,Single,Corporate Auto,Offer1,Branch,Sports Car,Medsize,24570,2011,2011-02-23
2842,NI,Oregon,No,Extended,Master,Employed,M,Suburban,Married,Personal Auto,Offer2,Agent,Four-Door Car,Medsize,68379,2011,2011-01-17
2843,RS,Oregon,No,Basic,College,Unemployed,F,Suburban,Single,Personal Auto,Offer2,Branch,Four-Door Car,Medsize,92763,2011,2011-02-16
2844,PA,Nevada,No,Basic,Doctor,Employed,M,Suburban,Married,Corporate Auto,Offer2,Branch,Two-Door Car,Medsize,75237,2011,2011-02-04
2845,LR,Oregon,No,Premium,High School or Below,Employed,M,Suburban,Single,Personal Auto,Offer1,Web,Four-Door Car,Medsize,35392,2011,2011-02-25
2846,KC,California,No,Basic,High School or Below,Employed,F,Rural,Married,Personal Auto,Offer2,Web,Four-Door Car,Large,22636,2011,2011-02-17
2847,IJ,California,No,Extended,Bachelor,Employed,F,Rural,Married,Personal Auto,Offer3,Agent,Four-Door Car,Medsize,98317,2011,2011-02-24
2848,DY,Arizona,No,Basic,College,Disabled,F,Suburban,Divorced,Personal Auto,Offer2,Agent,Four-Door Car,Medsize,49235,2011,2011-01-10
2849,EG,Nevada,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Special Auto,Offer2,Branch,Four-Door Car,Medsize,94409,2011,2011-01-12
2850,GB,Arizona,No,Extended,College,Employed,F,Urban,Married,Personal Auto,Offer2,Web,Four-Door Car,Medsize,59748,2011,2011-01-02
2851,MP,Oregon,No,Extended,College,Employed,M,Suburban,Married,Personal Auto,Offer1,Call Center,Four-Door Car,Small,68135,2011,2011-02-07
2852,CZ,California,No,Extended,College,Employed,M,Suburban,Single,Personal Auto,Offer1,Call Center,Four-Door Car,Medsize,56843,2011,2011-01-19
2853,DJ,California,No,Extended,Doctor,Disabled,M,Suburban,Divorced,Personal Auto,Offer3,Call Center,Four-Door Car,Medsize,47372,2011,2011-02-01
2854,XZ,California,Yes,Basic,Master,Employed,F,Suburban,Divorced,Personal Auto,Offer2,Branch,SUV,Medsize,51937,2011,2011-01-16
2855,IZ,Oregon,No,Extended,Master,Employed,M,Urban,Single,Personal Auto,Offer2,Branch,Two-Door Car,Large,27630,2011,2011-01-11
2856,IM,Arizona,No,Basic,Bachelor,Employed,F,Suburban,Married,Special Auto,Offer2,Branch,Two-Door Car,Small,14119,2011,2011-02-03
2857,PN,California,No,Basic,Doctor,Employed,M,Urban,Married,Corporate Auto,Offer1,Branch,Four-Door Car,Medsize,53766,2011,2011-01-14
2858,DQ,Arizona,No,Extended,High School or Below,Employed,M,Rural,Married,Personal Auto,Offer1,Branch,Four-Door Car,Medsize,93036,2011,2011-01-11
2859,WA,Nevada,No,Basic,College,Employed,M,Suburban,Single,Personal Auto,Offer3,Agent,SUV,Medsize,70405,2011,2011-01-13
2860,NF,Nevada,No,Basic,High School or Below,Employed,M,Urban,Single,Corporate Auto,Offer2,Branch,Two-Door Car,Medsize,51705,2011,2011-01-09
2861,LR,Oregon,No,Extended,College,Employed,F,Suburban,Married,Personal Auto,Offer1,Web,Four-Door Car,Small,37068,2011,2011-01-10
2862,EC,Nevada,No,Extended,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Offer1,Agent,Two-Door Car,Medsize,18611,2011,2011-02-16
2863,NP,Oregon,No,Basic,High School or Below,Disabled,F,Suburban,Married,Corporate Auto,Offer4,Call Center,Two-Door Car,Medsize,88319,2011,2011-02-02
2864,AA,Nevada,No,Basic,Bachelor,Medical Leave,F,Suburban,Married,Personal Auto,Offer2,Branch,Two-Door Car,Medsize,11235,2011,2011-01-28
2865,DL,Oregon,No,Basic,High School or Below,Employed,M,Suburban,Married,Corporate Auto,Offer3,Web,Four-Door Car,Medsize,55489,2011,2011-02-05
2866,UU,Oregon,No,Basic,Master,Employed,F,Urban,Married,Personal Auto,Offer3,Call Center,Two-Door Car,Medsize,53919,2011,2011-01-14
2867,JI,California,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,Offer1,Agent,Two-Door Car,Medsize,11950,2011,2011-02-18
2868,QB,Oregon,Yes,Basic,High School or Below,Unemployed,M,Suburban,Married,Personal Auto,Offer2,Web,Sports Car,Medsize,82117,2011,2011-01-24
2869,MR,Washington,No,Basic,High School or Below,Employed,M,Suburban,Single,Personal Auto,Offer2,Agent,SUV,Medsize,33456,2011,2011-02-13
2870,YN,California,No,Basic,College,Unemployed,M,Suburban,Single,Corporate Auto,Offer1,Agent,Two-Door Car,Medsize,17362,2011,2011-02-13
2871,UR,California,No,Basic,College,Employed,M,Urban,Married,Corporate Auto,Offer4,Agent,Four-Door Car,Medsize,73910,2011,2011-01-25
2872,KG,Washington,No,Extended,High School or Below,Unemployed,M,Suburban,Married,Personal Auto,Offer1,Agent,Four-Door Car,Small,63751,2011,2011-02-23
2873,NK,Oregon,No,Extended,Bachelor,Medical Leave,F,Urban,Married,Personal Auto,Offer3,Branch,Two-Door Car,Large,39001,2011,2011-02-09
2874,HR,California,No,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,Offer3,Agent,Two-Door Car,Medsize,85493,2011,2011-01-10
2875,QC,California,No,Extended,Bachelor,Employed,F,Urban,Married,Personal Auto,Offer1,Branch,SUV,Medsize,50643,2011,2011-01-25
2876,LO,Oregon,No,Basic,College,Employed,F,Rural,Married,Corporate Auto,Offer2,Web,Luxury SUV,Small,90345,2011,2011-02-24
2877,WK,Arizona,Yes,Basic,Bachelor,Disabled,F,Suburban,Divorced,Corporate Auto,Offer1,Web,Four-Door Car,Medsize,64739,2011,2011-01-11
2878,QK,Arizona,No,Basic,College,Employed,F,Rural,Single,Personal Auto,Offer2,Agent,Four-Door Car,Medsize,88438,2011,2011-02-19
2879,QX,California,No,Extended,College,Employed,M,Suburban,Married,Personal Auto,Offer1,Agent,Four-Door Car,Medsize,42433,2011,2011-02-24
2880,BH,California,No,Premium,Bachelor,Employed,F,Urban,Married,Personal Auto,Offer1,Branch,SUV,Medsize,52611,2011,2011-01-14
2881,SA,Oregon,No,Basic,High School or Below,Employed,F,Rural,Married,Personal Auto,Offer2,Branch,Four-Door Car,Large,77508,2011,2011-02-03
2882,HD,Oregon,No,Extended,College,Unemployed,F,Suburban,Single,Personal Auto,Offer3,Agent,Four-Door Car,Medsize,99234,2011,2011-02-19
2883,DE,California,No,Basic,Master,Employed,M,Rural,Single,Personal Auto,Offer1,Call Center,Sports Car,Medsize,37110,2011,2011-02-13
2884,DJ,California,No,Basic,High School or Below,Employed,F,Rural,Married,Personal Auto,Offer4,Agent,Two-Door Car,Large,93289,2011,2011-02-26
2885,AC,Washington,No,Basic,Bachelor,Employed,M,Urban,Single,Personal Auto,Offer4,Branch,Two-Door Car,Medsize,40767,2011,2011-02-01
2886,GA,Arizona,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Corporate Auto,Offer3,Call Center,Four-Door Car,Medsize,79817,2011,2011-02-05
2887,QH,California,No,Basic,Bachelor,Unemployed,M,Suburban,Divorced,Personal Auto,Offer1,Web,Four-Door Car,Medsize,62059,2011,2011-02-17
2888,ZS,Arizona,No,Extended,High School or Below,Employed,M,Suburban,Divorced,Personal Auto,Offer1,Agent,Four-Door Car,Large,35053,2011,2011-01-07
2889,II,Nevada,No,Basic,Bachelor,Employed,M,Urban,Married,Personal Auto,Offer1,Agent,SUV,Small,37804,2011,2011-02-08
2890,GE,California,No,Basic,Bachelor,Employed,M,Urban,Divorced,Corporate Auto,Offer1,Call Center,Two-Door Car,Medsize,63585,2011,2011-02-07
2891,UV,California,Yes,Basic,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Offer1,Web,Two-Door Car,Medsize,86903,2011,2011-01-30
2892,JL,California,No,Extended,Bachelor,Employed,F,Urban,Married,Personal Auto,Offer3,Branch,Four-Door Car,Medsize,71713,2011,2011-01-05
2893,DO,Arizona,Yes,Extended,College,Unemployed,M,Suburban,Married,Personal Auto,Offer2,Agent,SUV,Medsize,60145,2011,2011-01-19
2894,FC,California,No,Basic,Bachelor,Unemployed,F,Suburban,Married,Personal Auto,Offer4,Call Center,Four-Door Car,Large,59209,2011,2011-01-09
2895,XQ,Arizona,No,Extended,High School or Below,Employed,F,Suburban,Single,Special Auto,Offer1,Agent,Luxury Car,Medsize,74827,2011,2011-02-01
2896,EY,Oregon,No,Basic,College,Unemployed,F,Suburban,Married,Personal Auto,Offer1,Web,SUV,Medsize,13576,2011,2011-01-09
2897,US,California,No,Extended,Bachelor,Unemployed,F,Suburban,Single,Corporate Auto,Offer1,Agent,SUV,Medsize,82810,2011,2011-01-02
2898,RC,Oregon,No,Basic,High School or Below,Employed,M,Suburban,Single,Personal Auto,Offer4,Branch,SUV,Small,61383,2011,2011-01-17
2899,PO,Nevada,No,Basic,College,Disabled,F,Suburban,Married,Personal Auto,Offer1,Agent,SUV,Medsize,80505,2011,2011-01-02
